theta,z_plus,lambda_top,edge_margin
0.0,5.056145568846624,0.1006124080808311,-5.031375344298492
0.02617993877991494,5.080590497164427,0.10292335329421157,-5.053876001327682
0.05235987755982988,5.101554628445044,0.10517056494196236,-5.072907382929756
0.07853981633974483,5.11902359651382,0.10735211344123705,-5.08845683702029
0.10471975511965977,5.132985431668996,0.10946615348422092,-5.10051405965981
0.1308996938995747,5.143430568904969,0.11151092079832825,-5.109071106640215
0.15707963267948966,5.150351854495806,0.11348472947025118,-5.114122402842992
0.18325957145940458,5.153744550934884,0.11538596974177409,-5.1156647494571335
0.20943951023931953,5.153606340227858,0.11721310620062986,-5.1136973291306465
0.23561944901923448,5.1499373255373975,0.1189646763023007,-5.108221709118158
0.2617993877991494,5.142740031179446,0.12063928916906591,-5.099241842478071
0.28797932657906433,5.13201940097208,0.12223562462117832,-5.086764067365483
0.3141592653589793,5.117782794939401,0.12375243240217251,-5.070797104461319
0.34033920413889424,5.100039984374245,0.12518853156621543,-5.051352052573643
0.36651914291880916,5.0788031452649705,0.12654281000033513,-5.02844238244361
0.39269908169872414,5.054086850093011,0.12781422405849097,-5.002083928785916
0.41887902047863906,5.025908058009446,0.12900179828790242,-4.972294880591686
0.445058959258554,4.994286103400452,0.1301046252309747,-4.939095769720485
0.47123889803846897,4.959242682853159,0.1311218652886202,-4.902509457807335
0.4974188368183839,4.920801840535346,0.13205274663287614,-4.8625611215105
0.5235987755982988,4.87898995200429,0.1328965651585034,-4.819278236125851
0.5497787143782138,4.833835706462273,0.1336526844647909,-4.772690557594416
0.5759586531581287,4.78537008747865,0.1343205358601135,-4.722830102930716
0.6021385919380436,4.733626352201035,0.13489961838294762,-4.669731129101103
0.6283185307179586,4.678640009081208,0.13538949883405355,-4.613430110383374
0.6544984694978735,4.620448794144883,0.13578981181543415,-4.553965714241622
0.6806784082777885,4.5590926458386285,0.1361002597724728,-4.491378775753735
0.7068583470577035,4.494613678492166,0.1363206130363769,-4.425712270633172
0.7330382858376183,4.427056154440209,0.13645070986471536,-4.357011286892097
0.7592182246175333,4.356466454855395,0.1364904564784578,-4.285322995199769
0.7853981633974483,4.282893049352923,0.13643982709450492,-4.210696617998712
0.8115781021773631,4.20638646443904,0.13629886395326252,-4.133183397452363
0.8377580409572781,4.126999250890127,0.13606767734137537,-4.052836562312104
0.8639379797371931,4.044785950168143,0.13574644561028532,-3.9697112938103802
0.890117918517108,3.9598030600028604,0.13533541519185846,-3.8838646907110443
0.916297857297023,3.8721089993040922,0.13483490061292047,-3.7953557336807333
0.9424777960769379,3.781764072610853,0.13424528451117562,-3.70424524918884
0.9686577348568528,3.6888304343435276,0.13356701765567547,-3.610595873203005
0.9948376736367678,3.593372053206102,0.13280061897575557,-3.514472015028438
1.0210176124166828,3.4954546771974635,0.13194667560319995,-3.415939821752225
1.0471975511965976,3.3951457998476537,0.13100584293333684,-3.3150671439120316
1.0733774899765125,3.292514628517386,0.1299788447118444,-3.2119235032333022
1.0995574287564276,3.1876320559185336,0.12886647315526742,-3.106580063602044
1.1257373675363425,3.0805706364781305,0.1276695891146704,-2.999109606910632
1.1519173063162573,2.971404569854057,0.12638912229349308,-2.8895865161083747
1.1780972450961724,2.8602096949363363,0.12502607153259818,-2.7780867688277833
1.2042771838760873,2.7470634992239766,0.12358150517775432,-2.6646879465345816
1.2304571226560022,2.6320451508610536,0.12205656154745861,-2.549469266576511
1.2566370614359172,2.5152355643460598,0.12045244952214637,-2.4325116482891045
1.2828170002158321,2.396717516805772,0.11877044927957911,-2.3138978302782798
1.308996938995747,2.276575841047443,0.11701191320565882,-2.193712565457496
1.335176877775662,2.154897736368851,0.1151782670152583,-2.0720429353991254
1.361356816555577,2.0317732610730115,0.11327101112406285,-1.9489788488650437
1.3875367553354918,1.9072961044516341,0.11129172232013834,-1.8246138236982703
1.413716694115407,1.7815647786701723,0.10924205579326648,-1.6990461945569584
1.4398966328953218,1.6546843992173446,0.10712374759137719,-1.5723809176142276
1.4660765716752366,1.5267691415041211,0.10493861758712625,-1.4447320610395566
1.4922565104551517,1.3979449889305036,0.10268857305435983,-1.3162255907101013
1.5184364492350666,1.2683509546141114,0.10037561297457762,-1.1870006059587455
1.5446163880149815,1.1381343544753455,0.09800183321839692,-1.0572045365740788
1.5707963267948966,1.007435057833065,0.09556943277748581,-0.9269771509230751
1.5969762655748114,0.8763626880759535,0.09308072125974176,-0.796427407137351
1.6231562043547263,0.7449853786865342,0.09053812790619584,-0.6656220314606364
1.6493361431346414,0.6133420521360895,0.08794421244403478,-0.534597970474096
1.6755160819145563,0.481464901752829,0.08530167815840065,-0.40338519712072085
1.7016960206944711,0.34939427688174585,0.0826133876485998,-0.2720218033863723
1.7278759594743862,0.21718289759138723,0.0798823818345237,-0.14055825922073434
1.754055898254301,0.0848944643948291,0.07711190289870776,-0.009055978462043784
1.780235837034216,-0.04739914717456877,0.07430542198995194,0.12170456916452072
1.806415775814131,-0.17962040038160443,0.07146667267518902,0.25108707305679345
