label,strategy,estimator,n_windows,mean_mse,median_mse,iqr_mse,coverage_error,sign_test_p_de_vs_lw,sign_test_p_de_vs_alias,delta_median_de_minus_lw,delta_median_de_minus_alias,ci_lo_de_minus_lw,ci_hi_de_minus_lw,ci_lo_de_minus_alias,ci_hi_de_minus_alias
full,Equal Weight,Aliased,1,9.647487499482811e-06,9.647487499482811e-06,0.0,-0.05,,,,,,,,
full,Equal Weight,De-aliased,1,9.647487499482811e-06,9.647487499482811e-06,0.0,-0.05,1.0,,5.906190246475212e-06,0.0,5.906190246475212e-06,5.906190246475212e-06,0.0,0.0
full,Equal Weight,Ledoit-Wolf,1,3.7412972530075998e-06,3.7412972530075998e-06,0.0,-0.05,,,,,,,,
full,Equal Weight,SCM,1,9.647487499482808e-06,9.647487499482808e-06,0.0,-0.05,,,,,,,,
full,Min-Variance (box),Aliased,1,1.6584714269945628e-37,1.6584714269945628e-37,0.0,-0.05,,,,,,,,
full,Min-Variance (box),De-aliased,1,1.6584714269945628e-37,1.6584714269945628e-37,0.0,-0.05,1.0,,-1.907282179220289e-08,0.0,-1.907282179220289e-08,-1.907282179220289e-08,0.0,0.0
full,Min-Variance (box),Ledoit-Wolf,1,1.907282179220289e-08,1.907282179220289e-08,0.0,-0.05,,,,,,,,
full,Min-Variance (box),SCM,1,1.2672590875231097e-37,1.2672590875231097e-37,0.0,-0.05,,,,,,,,
full,Min-Variance (long-only),Aliased,1,5.644868216339885e-08,5.644868216339885e-08,0.0,-0.05,,,,,,,,
full,Min-Variance (long-only),De-aliased,1,5.644868216339885e-08,5.644868216339885e-08,0.0,-0.05,1.0,,-3.793670227661311e-07,0.0,-3.793670227661311e-07,-3.793670227661311e-07,0.0,0.0
full,Min-Variance (long-only),Ledoit-Wolf,1,4.3581570492952996e-07,4.3581570492952996e-07,0.0,-0.05,,,,,,,,
full,Min-Variance (long-only),SCM,1,5.644868216339877e-08,5.644868216339877e-08,0.0,-0.05,,,,,,,,
