regime,estimator,portfolio,mse_mean,es_mse_mean,var95,es95,realised_var,realised_es,violation_rate,count,qlike_mean,mv_turnover_mean,mv_turnover_cost_bps,cov_condition_median,cov_condition_p90,baseline_mse,baseline_es_mse,baseline_qlike_mean,delta_mse_vs_baseline,delta_es_vs_baseline,delta_qlike_vs_baseline,delta_mse_ci_lower,delta_mse_ci_upper,n_effective_mse,n_effective_es,n_effective_qlike,comparison_valid_mse,comparison_valid_es,comparison_valid_qlike,comparison_valid
calm,baseline,ew,2.7362097821976636e-09,,-0.015718914318431126,-0.019712152712842157,4.401170546381797e-05,,0.0,5,0.3142907682351549,0.0,0.0,6.483460263037003,6.93823902875329,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,baseline,mv,1.4443091758910329e-09,,-0.013644937757475138,-0.017111302433730765,3.3339180055867426e-05,,0.0,5,0.2843236789024743,0.015410600923834044,0.0,6.483460263037003,6.93823902875329,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
calm,cc,ew,2.247056207440098e-08,,-0.022776591288103,-0.02856276436487936,4.401170546381797e-05,,0.0,5,0.7990874090396092,0.0,0.0,42.7105555430624,44.82289776231041,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,cc,mv,1.3715319643889505e-08,,-0.020076920454794988,-0.02517726822548157,3.3339180055867426e-05,,0.0,5,0.7930264925121246,0.015410600923834044,0.0,42.7105555430624,44.82289776231041,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
calm,ewma,ew,1.578429487220582e-08,,-0.021306300106194855,-0.026718959905933044,4.401170546381797e-05,,0.0,5,0.6968355997940607,0.0,0.0,623.1754576899415,965.9492206103887,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,ewma,mv,5.449301526592193e-09,,-0.016908691166341007,-0.021204180879997682,3.3339180055867426e-05,,0.0,5,0.5379178153770046,0.015410600923834044,0.0,623.1754576899415,965.9492206103887,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
calm,lw,ew,8.915858704769776e-09,,-0.0191175508765406,-0.023974180069931843,4.401170546381797e-05,,0.0,5,0.5487180387844195,0.0,0.0,18.47306737090971,19.7996417308414,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,lw,mv,3.574745599593422e-09,,-0.01570484042551877,-0.019694503483338614,3.3339180055867426e-05,,0.0,5,0.4451783940928758,0.015410600923834044,0.0,18.47306737090971,19.7996417308414,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
calm,oas,ew,1.171498175812375e-08,,-0.020104876462029492,-0.025212326186399497,4.401170546381797e-05,,0.0,5,0.6168645391786058,0.0,0.0,28.62983827057844,31.149683780422155,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,oas,mv,4.496296361826144e-09,,-0.016335514609586682,-0.02048539435382429,3.3339180055867426e-05,,0.0,5,0.4953493185078762,0.015410600923834044,0.0,28.62983827057844,31.149683780422155,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
calm,overlay,ew,2.7362097821976636e-09,,-0.015718914318431126,-0.019712152712842157,4.401170546381797e-05,,0.0,5,0.3142907682351549,0.0,0.0,6.483460263037003,6.93823902875329,2.7362097821976636e-09,,0.3142907682351549,0.0,,0.0,,,5.0,0.0,5.0,1.0,0.0,1.0,0.0
calm,overlay,mv,1.4443091758910329e-09,,-0.013644937757475138,-0.017111302433730765,3.3339180055867426e-05,,0.0,5,0.2843236789024743,0.015410600923834044,0.0,6.483460263037003,6.93823902875329,1.4443091758910329e-09,,0.2843236789024743,0.0,,0.0,,,5.0,0.0,5.0,1.0,0.0,1.0,0.0
calm,quest,ew,5.329351566799344e-09,,-0.017549370440183086,-0.02200761853670147,4.401170546381797e-05,,0.0,5,0.4337125589484008,0.0,0.0,50.26412876496593,108.24076133623186,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,quest,mv,2.638024017334644e-09,,-0.014965894598744239,-0.018767835604831414,3.3339180055867426e-05,,0.0,5,0.38032391485760914,0.015410600923834044,0.0,50.26412876496593,108.24076133623186,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
calm,rie,ew,2.7362097821976636e-09,,-0.015718914318431126,-0.019712152712842157,4.401170546381797e-05,,0.0,5,0.3142907682351549,0.0,0.0,6.483460263037003,6.93823902875329,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,rie,mv,1.4443091758910329e-09,,-0.013644937757475138,-0.017111302433730765,3.3339180055867426e-05,,0.0,5,0.2843236789024743,0.015410600923834044,0.0,6.483460263037003,6.93823902875329,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
calm,sample,ew,2.1603225325587614e-08,,-0.022591022498493755,-0.028330053616197094,4.401170546381797e-05,,0.0,5,0.787086344537405,0.0,0.0,645.679216887587,1062.0685548365987,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,sample,mv,7.803873733577077e-09,,-0.018014212977394167,-0.022590549831783713,3.3339180055867426e-05,,0.0,5,0.6296046239781077,0.015410600923834044,0.0,645.679216887587,1062.0685548365987,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
calm,scm,ew,2.1603225325587614e-08,,-0.022591022498493755,-0.028330053616197094,4.401170546381797e-05,,0.0,5,0.787086344537405,0.0,0.0,645.679216887587,1062.0685548365987,2.7362097821976636e-09,,0.3142907682351549,,,,,,,,,,,,
calm,scm,mv,7.803873733577077e-09,,-0.018014212977394167,-0.022590549831783713,3.3339180055867426e-05,,0.0,5,0.6296046239781077,0.015410600923834044,0.0,645.679216887587,1062.0685548365987,1.4443091758910329e-09,,0.2843236789024743,,,,,,,,,,,,
