estimator,portfolio,mse,delta_mse_vs_rie
overlay,ew,8.420418327298329e-07,7.18681433045545e-07
overlay,mv,8.449086223005412e-07,8.412839048938371e-07
rie,ew,1.2336039968428777e-07,0.0
rie,mv,3.6247174067040444e-09,0.0
ewma,ew,1.2719164051702503e-07,3.831240832737255e-09
ewma,mv,3.1390500887875427e-09,-4.856673179165017e-10
sample,ew,1.2335037968514102e-07,-1.0019999146751134e-11
sample,mv,3.0487309953354086e-09,-5.759864113686358e-10
