mu,detection_rate,acceptance_rate,n_windows,n_detected,n_accepted
0.0,0.0,0.0,80,0,0
3.0,0.0,0.0,7,0,0
4.0,0.0,0.0,7,0,0
5.0,0.0,0.0,7,0,0
