label,strategy,estimator,n_windows,mean_mse,median_mse,iqr_mse,coverage_error,sign_test_p_de_vs_lw,sign_test_p_de_vs_alias,delta_median_de_minus_lw,delta_median_de_minus_alias,ci_lo_de_minus_lw,ci_hi_de_minus_lw,ci_lo_de_minus_alias,ci_hi_de_minus_alias
crisis_20200201_20200531,Equal Weight,Aliased,1,6.324341346389432e-06,6.324341346389432e-06,0.0,-0.05,,,,,,,,
crisis_20200201_20200531,Equal Weight,De-aliased,1,6.324341346389432e-06,6.324341346389432e-06,0.0,-0.05,1.0,,3.586095302968013e-06,0.0,3.586095302968013e-06,3.586095302968013e-06,0.0,0.0
crisis_20200201_20200531,Equal Weight,Ledoit-Wolf,1,2.7382460434214194e-06,2.7382460434214194e-06,0.0,-0.05,,,,,,,,
crisis_20200201_20200531,Equal Weight,SCM,1,6.324341346389435e-06,6.324341346389435e-06,0.0,-0.05,,,,,,,,
crisis_20200201_20200531,Min-Variance (box),Aliased,1,2.955840580624563e-28,2.955840580624563e-28,0.0,0.95,,,,,,,,
crisis_20200201_20200531,Min-Variance (box),De-aliased,1,2.955840580624563e-28,2.955840580624563e-28,0.0,0.95,1.0,,-2.2372741388227974e-09,0.0,-2.2372741388227974e-09,-2.2372741388227974e-09,0.0,0.0
crisis_20200201_20200531,Min-Variance (box),Ledoit-Wolf,1,2.2372741388227974e-09,2.2372741388227974e-09,0.0,-0.05,,,,,,,,
crisis_20200201_20200531,Min-Variance (box),SCM,1,2.9558343549915262e-28,2.9558343549915262e-28,0.0,0.95,,,,,,,,
crisis_20200201_20200531,Min-Variance (long-only),Aliased,1,2.474068417173355e-10,2.474068417173355e-10,0.0,-0.05,,,,,,,,
crisis_20200201_20200531,Min-Variance (long-only),De-aliased,1,2.474068417173355e-10,2.474068417173355e-10,0.0,-0.05,1.0,,-1.2500423804685235e-06,0.0,-1.2500423804685235e-06,-1.2500423804685235e-06,0.0,0.0
crisis_20200201_20200531,Min-Variance (long-only),Ledoit-Wolf,1,1.2502897873102409e-06,1.2502897873102409e-06,0.0,-0.05,,,,,,,,
crisis_20200201_20200531,Min-Variance (long-only),SCM,1,2.474068417173356e-10,2.474068417173356e-10,0.0,-0.05,,,,,,,,
