theta,z_plus,lambda_top,edge_margin
0.0,0.00270910489205361,0.007008981977751688,0.004245694987857006
0.03490658503988659,0.0027543984121925044,0.008057699530163274,0.00524821314972692
0.06981317007977318,0.002797136118760716,0.009860743862409732,0.007007665021273802
0.10471975511965978,0.0028372685657649973,0.012828961958576312,0.009934948021496014
0.13962634015954636,0.00287474994815545,0.01701791838886349,0.01408567344174493
0.17453292519943295,0.002909538182929837,0.02205851132163944,0.019090782375051005
0.20943951023931956,0.002941594991240813,0.027568641653994766,0.024568214762929138
0.24434609527920614,0.0029708859819473194,0.03331828672931801,0.030287983027731745
0.2792526803190927,0.002997380737173224,0.03918460904122771,0.03612728068931102
0.3141592653589793,0.003021052900573619,0.04509959432880471,0.04201812037021962
0.3490658503988659,0.0030418802691650677,0.05102228102018418,0.047919563145635814
0.3839724354387525,0.0030598448897540763,0.056925603185822626,0.05380456139827347
0.4188790204786391,0.0030749331612015254,0.06279005634400377,0.05965362451957821
0.4537856055185257,0.00308713594399339,0.06860049861337554,0.06545161995050228
0.4886921905584123,0.0030964486788527426,0.07434444844040607,0.07118607078797627
0.5235987755982988,0.0031028715164270622,0.08001113355186715,0.07684620460511155
0.5585053606381855,0.0031064094604182782,0.08559093641168641,0.08242239876205977
0.5934119456780721,0.0031070725268875134,0.09107505887301273,0.08790584489558746
0.6283185307179586,0.00310487592285256,0.09645531313706684,0.09328833969575723
0.6632251157578453,0.003099840247684399,0.10172398821754786,0.09856215116490977
0.6981317007977318,0.0030919917211640674,0.10687376302786572,0.10371993147227837
0.7330382858376184,0.003081362442322589,0.11189764908818589,0.10875465939701685
0.767944870877505,0.003067990683255965,0.11678895252494953,0.11365960202802844
0.8028514559173916,0.0030519212218284,0.1215412489113,0.11842828926503503
0.8377580409572782,0.003033205716310304,0.12614836681434505,0.12305449698370854
0.8726646259971648,0.0030119031231836874,0.13060437733840452,0.12753223615275716
0.9075712110370514,0.002988080156064247,0.13490358784884848,0.13185574608966294
0.9424777960769379,0.0029618117782049696,0.1390405386371038,0.13601949062333474
0.9773843811168246,0.0029331817123869034,0.14301000166544905,0.14001815631881442
1.0122909661567112,0.002902282938970131,0.1468069807829762,0.14384665218522666
1.0471975511965976,0.0028692181341867435,0.15042671297602528,0.1475001104791548
1.0821041362364843,0.0028340999754176656,0.1538646703351988,0.15097388836027278
1.117010721276371,0.002797051208311229,0.15711656250439004,0.1542635702719126
1.1519173063162575,0.002758204334769258,0.16017833943651008,0.15736497101504543
1.1868238913561442,0.0027177007481388057,0.16304619432329373,0.16027413956019215
1.2217304763960306,0.002675689126082382,0.1657165665977153,0.16298736368911126
1.2566370614359172,0.0026323229133887924,0.16818614493054612,0.16550117555888955
1.2915436464758039,0.002587756810529227,0.1704518701597712,0.1678123582130314
1.3264502315156905,0.002542142344951211,0.17251093810457657,0.16991795291272635
1.361356816555577,0.0024956228300393388,0.17436080222555222,0.1718152669389121
1.3962634015954636,0.002448328257340577,0.17599917610044513,0.17350188127795774
1.4311699866353502,0.002400370828211677,0.17742403569082582,0.1749756574460499
1.4660765716752369,0.002351841818474081,0.17863362137981315,0.17623474272496958
1.5009831567151235,0.0023028102503414726,0.1796264397648631,0.1772775733095148
1.53588974175501,0.002253323482035786,0.18040126519277322,0.17810287524109672
1.5707963267948966,0.002203409450062707,0.18095714102668614,0.17870966338762218
1.6057029118347832,0.0021530800413970073,0.18129338063710373,0.17909723899487878
1.6406094968746698,0.0021023349922850375,0.18140956811084852,0.17926518641871778
1.6755160819145565,0.002051165783959434,0.18130555867363804,0.17921336957399941
1.710422666954443,0.0019995591633765854,0.1809814788234887,0.1789419284768446
1.7453292519943295,0.001947500088382335,0.18043772617364912,0.17845127608349914
1.7802358370342162,0.001894974036639912,0.17967496900516852,0.17774209548779582
1.8151424220741028,0.0018419687104043706,0.17869414553063756,0.1768153374460251
1.8500490071139892,0.001788475218382415,0.1774964628720831,0.17567221814933304
1.8849555921538759,0.0017344888332262924,0.17608339575755466,0.17431421714766385
1.9198621771937625,0.00168000942107351,0.1744566849426249,0.1727430753331299
1.9547687622336491,0.0016250416276517821,0.17261833536492005,0.17096079290471522
1.9896753472735358,0.0015695948901639045,0.1705706140419711,0.1689696272540039
2.0245819323134224,0.0015136833290261109,0.16831604772523673,0.1667720907296301
2.059488517353309,0.0014573255602407492,0.16585742032620535,0.16437094825475979
2.0943951023931953,0.0014005444582949468,0.16319777013422074,0.1617692147867599
2.129301687433082,0.0013433668909523197,0.16034038685030066,0.1589701526215293
2.1642082724729685,0.0012858234408428693,0.1572888084670303,0.15597726855737057
2.199114857512855,0.001227948123976794,0.15404681803202014,0.1527943109455638
2.234021442552742,0.0011697781118435442,0.15061844034196642,0.149425266667886
2.2689280275926285,0.0011113534612913532,0.14700793862682654,0.14587435809630936
2.303834612632515,0.0010527168546583972,0.14321981130008696,0.1421460401083354
2.3387411976724017,0.0009939133514452522,0.13925878887310947,0.13824499725463532
2.3736477827122884,0.0009349901520285174,0.13512983116129895,0.13417614120622987
2.4085543677521746,0.0008759963734049532,0.13083812495053032,0.12994460864965726
2.443460952792061,0.0008169828366419605,0.12638908234868534,0.12555575985531053
2.478367537831948,0.0007580018655337947,0.1217883401262814,0.12101517822343692
2.5132741228718345,0.0006991070958802647,0.11704176046280301,0.11632867122500515
2.548180707911721,0.0006403532947848417,0.11215543367795777,0.11150227331727723
2.5830872929516078,0.0005817961893895788,0.10713568376557989,0.10654225165240251
2.6179938779914944,0.0005234923045090112,0.10198907790369875,0.10145511575309957
