label,fit_start,fit_end,hold_start,hold_end,n_detections,top_lambda_hat,top_mu_hat,top_a0,top_a1,top_stability_margin,top_z_plus,top_threshold_main,top_sigma1_eigval,eq_aliased_forecast,eq_aliased_realized,eq_dealiased_forecast,eq_dealiased_realized,eq_ledoitwolf_forecast,eq_ledoitwolf_realized,eq_scm_forecast,eq_scm_realized,mv_aliased_forecast,mv_aliased_realized,mv_dealiased_forecast,mv_dealiased_realized,mv_ledoitwolf_forecast,mv_ledoitwolf_realized,mv_scm_forecast,mv_scm_realized,mvlo_aliased_forecast,mvlo_aliased_realized,mvlo_dealiased_forecast,mvlo_dealiased_realized,mvlo_ledoitwolf_forecast,mvlo_ledoitwolf_realized,mvlo_scm_forecast,mvlo_scm_realized
full,2019-10-01,2020-06-09,2020-06-16,2020-06-23,0,,,,,,,,0.005391186916353671,0.0019606318295733024,0.00047436607781850695,0.0019606318295733024,0.00047436607781850695,0.0014986951369908754,0.00047436607781850695,0.0019606318295733024,0.00047436607781850695,1.1280152923734101e-05,0.0008515310377584655,1.1280152923734101e-05,0.0008515310377584655,7.832509418211737e-05,0.0008515310377584655,1.1280152923734093e-05,0.0008515310377584655,0.00019583133567031293,7.830979054797857e-05,0.00019583133567031293,7.830979054797857e-05,0.0003627717604307582,7.830979054797857e-05,0.00019583133567031293,7.830979054797857e-05
full,2019-10-08,2020-06-16,2020-06-23,2020-07-07,0,,,,,,,,0.0053149270129148295,0.0019490544601076128,3.222301421865953e-05,0.0019490544601076128,3.222301421865953e-05,0.0014821999513895475,3.222301421865953e-05,0.0019490544601076128,3.222301421865953e-05,1.4763449160802602e-05,3.22493613886618e-05,1.4763449160802602e-05,3.22493613886618e-05,8.245784998750887e-05,3.22493613886618e-05,1.4763449160802595e-05,3.22493613886618e-05,0.00019507989617692495,2.4508645954186902e-05,0.00019507989617692495,2.4508645954186902e-05,0.00033371068088859873,2.4508645954186902e-05,0.00019507989617692493,2.4508645954186902e-05
full,2019-10-15,2020-06-23,2020-07-07,2020-07-14,0,,,,,,,,0.004865846140411357,0.0019629671898652263,0.0012256925707949627,0.0019629671898652263,0.0012256925707949627,0.0014972016351542554,0.0012256925707949627,0.0019629671898652263,0.0012256925707949627,1.449785342797783e-05,0.0010059924636076226,1.449785342797783e-05,0.0010059924636076226,8.050981046332985e-05,0.0010059924636076226,1.44978534279778e-05,0.0010059924636076226,0.00019506578609368956,4.3814191806380834e-05,0.00019506578609368956,4.3814191806380834e-05,0.00033485153450531967,4.3814191806380834e-05,0.00019506578609368956,4.3814191806380834e-05
full,2019-10-22,2020-07-07,2020-07-14,2020-07-21,0,,,,,,,,0.004352191314212275,0.0019572260919098364,0.0003452803640951889,0.0019572260919098364,0.0003452803640951889,0.0014887654329544067,0.0003452803640951889,0.0019572260919098364,0.0003452803640951889,7.909536454985421e-06,0.001086100793984602,7.909536454985421e-06,0.001086100793984602,7.750644147654284e-05,0.001086100793984602,7.909536454985582e-06,0.001086100793984602,0.00019816015727366855,0.00016826104068341156,0.00019816015727366855,0.00016826104068341156,0.0003140486558515294,0.00016826104068341156,0.0001981601572736685,0.00016826104068341156
full,2019-10-29,2020-07-14,2020-07-21,2020-07-28,0,,,,,,,,0.004212091141913685,0.0019890929042378196,1.1155569506025576e-05,0.0019890929042378196,1.1155569506025576e-05,0.0015157348681533824,1.1155569506025576e-05,0.0019890929042378196,1.1155569506025576e-05,1.8078280447214244e-05,6.828181862736787e-05,1.8078280447214244e-05,6.828181862736787e-05,8.679396899239879e-05,6.828181862736786e-05,1.807828044721423e-05,6.828181862736786e-05,0.00020565870907248698,4.326781371762266e-05,0.00020565870907248698,4.326781371762266e-05,0.0003587189882302039,4.326781371762266e-05,0.00020565870907248698,4.326781371762266e-05
full,2019-11-05,2020-07-21,2020-07-28,2020-08-04,0,,,,,,,,0.004173345528439965,0.001972103010714788,0.000574371884429731,0.001972103010714788,0.000574371884429731,0.0014945180905746066,0.000574371884429731,0.001972103010714788,0.000574371884429731,2.0328724831836786e-05,0.00010311563209243727,2.0328724831836786e-05,0.00010311563209243727,8.977214436954241e-05,0.00010311563209243727,2.0328724831836844e-05,0.00010311563209243727,0.00020646819949224183,6.974499237360185e-06,0.00020646819949224183,6.974499237360185e-06,0.00035649693845896357,6.974499237360185e-06,0.00020646819949224186,6.974499237360185e-06
full,2019-11-12,2020-07-28,2020-08-04,2020-08-11,0,,,,,,,,0.004163620471217877,0.001971694123105486,0.000497480144495637,0.001971694123105486,0.000497480144495637,0.0014929299174512543,0.000497480144495637,0.001971694123105486,0.000497480144495637,1.911596652586102e-05,1.1720275851532076e-05,1.911596652586102e-05,1.1720275851532076e-05,8.871981762480407e-05,1.172027585153208e-05,1.9115966525861017e-05,1.172027585153208e-05,0.00020297844375118525,9.850778000167142e-05,0.00020297844375118525,9.850778000167142e-05,0.00034863174581198906,9.850778000167142e-05,0.00020297844375118527,9.850778000167142e-05
full,2019-12-10,2020-08-04,2020-08-11,2020-08-18,0,,,,,,,,0.004746165943782631,0.002025768136374162,1.1141128980106767e-06,0.002025768136374162,1.1141128980106767e-06,0.00156444618818926,1.1141128980106767e-06,0.002025768136374162,1.1141128980106767e-06,1.9520008684385685e-05,6.624047028064707e-05,1.9520008684385685e-05,6.624047028064707e-05,8.499662467177779e-05,6.624047028064701e-05,1.952000868438576e-05,6.624047028064701e-05,0.00019962632497320612,0.0004051833526276641,0.00019962632497320612,0.0004051833526276641,0.00034398429047565783,0.0004051833526276641,0.00019962632497320612,0.0004051833526276641
full,2019-12-17,2020-08-11,2020-08-18,2020-08-25,0,,,,,,,,0.00463720533035616,0.002000480969697905,3.9437716399470734e-05,0.002000480969697905,3.9437716399470734e-05,0.0015340518002964518,3.9437716399470734e-05,0.002000480969697905,3.9437716399470734e-05,1.9026339404625482e-05,1.5497958735223397e-05,1.9026339404625482e-05,1.5497958735223397e-05,8.639766278580559e-05,1.5497958735223397e-05,1.9026339404625414e-05,1.5497958735223397e-05,0.00020293019151515664,0.0002177307581142975,0.00020293019151515664,0.0002177307581142975,0.000334272625502883,0.0002177307581142975,0.00020293019151515666,0.0002177307581142975
full,2020-01-07,2020-08-18,2020-08-25,2020-09-08,0,,,,,,,,0.004304434549191452,0.0019841353203230395,0.00019734689382185582,0.0019841353203230395,0.00019734689382185582,0.0015118143375176859,0.00019734689382185582,0.0019841353203230395,0.00019734689382185582,1.94680130550771e-05,0.0002862569083972679,1.94680130550771e-05,0.0002862569083972679,8.871605794371762e-05,0.0002862569083972679,1.9468013055077097e-05,0.0002862569083972679,0.00019914627193745452,0.0009180770767178523,0.00019914627193745452,0.0009180770767178523,0.0003356911871395927,0.0009180770767178523,0.00019914627193745458,0.0009180770767178523
