date,vol_signal,regime
2016-01-15,0.04023139900306182,mid
2016-01-19,0.04035960436950518,mid
2016-01-20,0.0403688913338427,mid
2016-01-21,0.04060046045863745,mid
2016-01-22,0.04065669851793874,mid
2016-01-25,0.0409853164514602,mid
2016-01-26,0.04086147266704746,mid
2016-01-27,0.04033323491844188,mid
2016-01-28,0.04029346018863546,mid
2016-01-29,0.041709491112936904,mid
2016-02-01,0.041386374982391665,mid
2016-02-02,0.04116136609833485,mid
2016-02-03,0.040852216031433845,mid
2016-02-04,0.04060566417999286,mid
2016-02-05,0.04102887112358147,mid
2016-02-08,0.047663429133163626,mid
2016-02-09,0.047123890386318035,mid
2016-02-10,0.046446460414121996,mid
2016-02-11,0.04579237372302178,mid
2016-02-12,0.045437961852148816,mid
2016-02-16,0.04548388740520459,mid
2016-02-17,0.04540182966056867,mid
2016-02-18,0.04449689170228412,mid
2016-02-19,0.04375587987227859,mid
2016-02-22,0.04572772542234556,mid
2016-02-23,0.04521093205895435,mid
2016-02-24,0.044404627824397004,mid
2016-02-25,0.04383299843119927,mid
2016-02-26,0.043437657956944375,mid
2016-02-29,0.04304626313980991,mid
2016-03-01,0.04294524536950199,mid
2016-03-02,0.042754800055083086,mid
2016-03-03,0.043175241116513906,mid
2016-03-04,0.04310186360004073,mid
2016-03-07,0.0476873003062546,mid
2016-03-08,0.048024848464789986,mid
2016-03-09,0.046935740737419226,mid
2016-03-10,0.046190953106196135,mid
2016-03-11,0.045780257253279694,mid
2016-03-14,0.04535157870167048,mid
2016-03-15,0.04976136442232794,mid
2016-03-16,0.048426457372941156,mid
2016-03-17,0.04807927864976696,mid
2016-03-18,0.04704286803934729,mid
2016-03-21,0.04579672113315665,mid
2016-03-22,0.04457021205856944,mid
2016-03-23,0.04421208151078824,mid
2016-03-24,0.04294496994201011,mid
2016-03-28,0.041973659435702367,mid
2016-03-29,0.04141157880010835,mid
2016-03-30,0.04020557559562566,mid
2016-03-31,0.03955841811114705,mid
2016-04-01,0.03879286871612,mid
2016-04-04,0.038317350048297505,mid
2016-04-05,0.037356780837568326,mid
2016-04-06,0.03713378508338169,calm
2016-04-07,0.03678833046017155,calm
2016-04-08,0.03615499376521767,calm
2016-04-11,0.03580535540923722,calm
2016-04-12,0.03581534490775299,calm
2016-04-13,0.03696886541872186,calm
2016-04-14,0.03599614848042911,calm
2016-04-15,0.03532487656059769,calm
2016-04-18,0.03490360239082318,calm
2016-04-19,0.03705084398908267,calm
2016-04-20,0.0363387127947009,calm
2016-04-21,0.03589926062858302,calm
2016-04-22,0.03541824258745783,calm
2016-04-25,0.034778995081861254,calm
2016-04-26,0.03430245577865959,calm
2016-04-27,0.04079001332597071,mid
2016-04-28,0.04037232153143556,mid
2016-04-29,0.039749760039176546,mid
2016-05-02,0.03876681410830285,mid
2016-05-03,0.03852632583367317,mid
2016-05-04,0.03842848383964718,mid
2016-05-05,0.03899001367413772,mid
2016-05-06,0.03877370931967859,mid
2016-05-09,0.03842330392846029,mid
2016-05-10,0.03828331561102927,mid
2016-05-11,0.038141166152372716,mid
2016-05-12,0.0376850146988156,mid
2016-05-13,0.03704210412552544,calm
2016-05-16,0.03692656537219026,calm
2016-05-17,0.0363991355267993,calm
2016-05-18,0.03634626780611395,calm
2016-05-19,0.03582103136052095,calm
2016-05-20,0.03726976202730553,mid
2016-05-23,0.03661889299240524,calm
2016-05-24,0.03637366383872559,calm
2016-05-25,0.0360396658148835,calm
2016-05-26,0.03732222862973793,mid
2016-05-27,0.04309220223006349,mid
2016-05-31,0.04232788810487106,mid
2016-06-01,0.048867422455324695,mid
2016-06-02,0.047530630190253685,mid
2016-06-03,0.046039859677161135,mid
2016-06-06,0.05322711853340997,crisis
2016-06-07,0.05243125493362769,crisis
2016-06-08,0.05188191727990042,mid
2016-06-09,0.050487128564937,mid
2016-06-10,0.04918846977373839,mid
2016-06-13,0.048054821202894206,mid
2016-06-14,0.046726164217136906,mid
