design,window_id,window_start,regime,vol_signal,calm_threshold,crisis_threshold,vol_state_label
dow-tyler,49.0,2020-07-14T00:00:00,full,0.0184333324373125,0.0151156345063878,0.0263939307551262,mid
dow-tyler,50.0,2020-07-15T00:00:00,full,0.0184247164081172,0.015187464465766,0.0263750787413709,mid
dow-tyler,51.0,2020-07-16T00:00:00,full,0.0183408024880231,0.0152592944251443,0.0263562267276157,mid
dow-tyler,52.0,2020-07-17T00:00:00,full,0.0180458579307245,0.0153311243845225,0.0263373747138604,mid
dow-tyler,53.0,2020-07-20T00:00:00,full,0.0176794895223246,0.0153313059464378,0.0262306632141696,mid
dow-tyler,54.0,2020-07-21T00:00:00,full,0.0181512476949376,0.0153314875083531,0.0261239517144787,mid
dow-tyler,55.0,2020-07-22T00:00:00,full,0.0177555584747025,0.0153316690702684,0.0260172402147879,mid
dow-tyler,56.0,2020-07-23T00:00:00,full,0.0177927048768734,0.0153318506321837,0.0259105287150971,mid
dow-tyler,57.0,2020-07-24T00:00:00,full,0.0177809336874785,0.015332032194099,0.0258038172154063,mid
dow-tyler,58.0,2020-07-27T00:00:00,full,0.0174047594317727,0.0153389065112783,0.0257495959177078,mid
dow-tyler,59.0,2020-07-28T00:00:00,full,0.0175663322554019,0.0153457808284576,0.0256953746200092,mid
dow-tyler,60.0,2020-07-29T00:00:00,full,0.0174660580820721,0.015352655145637,0.0256411533223107,mid
dow-tyler,61.0,2020-07-30T00:00:00,full,0.017270186723012,0.0153595294628163,0.0255869320246122,mid
dow-tyler,62.0,2020-07-31T00:00:00,full,0.017551270459166,0.0153664037799956,0.0255327107269137,mid
dow-tyler,63.0,2020-08-03T00:00:00,full,0.0176001080581462,0.0153699966730916,0.0255099455982179,mid
dow-tyler,64.0,2020-08-04T00:00:00,full,0.0174662102288588,0.0153735895661876,0.0254871804695221,mid
dow-tyler,65.0,2020-08-05T00:00:00,full,0.0173092435707771,0.0153771824592836,0.0254644153408263,mid
dow-tyler,66.0,2020-08-06T00:00:00,full,0.017244484545449,0.0153807753523796,0.0254416502121305,mid
dow-tyler,67.0,2020-08-07T00:00:00,full,0.0179149293118927,0.0153843682454756,0.0254188850834348,mid
dow-tyler,68.0,2020-08-10T00:00:00,full,0.0177208689150885,0.0153876677219312,0.0254160336604969,mid
dow-tyler,69.0,2020-08-11T00:00:00,full,0.0176674225156925,0.0153909671983868,0.0254131822375591,mid
dow-tyler,70.0,2020-08-12T00:00:00,full,0.0177420143342764,0.0153942666748423,0.0254103308146212,mid
dow-tyler,71.0,2020-08-13T00:00:00,full,0.0182277423264795,0.0153975661512979,0.0254074793916833,mid
