window_idx,fit_start,fit_end,horizon_start,horizon_end,n_obs,n_assets,injected,injected_mu,inject_mode,detected_initial,accepted,pre_gate_raw_outliers_found,pre_gate_mp_edge_margin,pre_gate_leakage_offcomp,pre_gate_stability_eta_pass,pre_gate_bracket_status,pre_gate_coarse_candidates,gating_mode,gating_rejected,gating_soft_cap,gating_delta_frac_used,gating_capped,guard_edge_buffer,guard_stability_fail,guard_off_component_ratio,guard_energy_floor,guard_neg_mu,guard_eps,guard_tvec_compute_error,guard_tvec_no_real_root,guard_tvec_no_admissible_root,guard_tvec_singularity,guard_tvec_target_zero,guard_tvec_off_component,guard_mu_nonfinite,guard_unknown,gate_reason_accepted,gate_reason_inadmissible_root,gate_reason_edge_margin,gate_reason_nonisolated,gate_reason_stability,gate_reason_alignment,gate_reason_delta_frac_min,gate_reason_delta_frac_max,gate_reason_soft_cap,gate_reason_hard_cap
0,2024-02-16,2024-04-15,2024-04-16,2024-04-22,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,70,55,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-02-21,2024-04-17,2024-04-18,2024-04-24,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,97,53,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-02-26,2024-04-22,2024-04-23,2024-04-29,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,70,55,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-02-29,2024-04-25,2024-04-26,2024-05-02,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,97,53,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-03-05,2024-04-30,2024-05-01,2024-05-07,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,71,54,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
18,2024-03-14,2024-05-09,2024-05-10,2024-05-16,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,97,53,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
19,2024-03-15,2024-05-10,2024-05-13,2024-05-17,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,97,53,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
21,2024-03-19,2024-05-14,2024-05-15,2024-05-21,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,69,56,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
22,2024-03-20,2024-05-15,2024-05-16,2024-05-22,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,98,52,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
26,2024-03-26,2024-05-21,2024-05-22,2024-05-29,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,69,56,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
27,2024-03-27,2024-05-22,2024-05-23,2024-05-30,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,69,56,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
28,2024-03-28,2024-05-23,2024-05-24,2024-05-31,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,69,56,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
29,2024-04-01,2024-05-24,2024-05-28,2024-06-03,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,69,56,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
34,2024-04-08,2024-06-03,2024-06-04,2024-06-10,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,70,55,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
36,2024-04-10,2024-06-05,2024-06-06,2024-06-12,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,99,51,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
37,2024-04-11,2024-06-06,2024-06-07,2024-06-13,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,99,51,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
38,2024-04-12,2024-06-07,2024-06-10,2024-06-14,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,99,51,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
42,2024-04-18,2024-06-13,2024-06-14,2024-06-21,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,97,53,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
45,2024-04-23,2024-06-18,2024-06-20,2024-06-26,35,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,69,56,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
46,2024-04-24,2024-06-20,2024-06-21,2024-06-27,30,25,0,,within,0,0,0,,,,none,,strict,0,,,0,0,0,0,0,0,0,0,96,54,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
26,2024-03-26,2024-05-21,2024-05-22,2024-05-29,35,25,1,12.0,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,66,55,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0
26,2024-03-26,2024-05-21,2024-05-22,2024-05-29,35,25,1,24.0,within,0,0,0,,,,none,,strict,0,,,0,0,0,25,0,0,0,0,66,55,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0
