stage,reason,count,injected_mu,inject_mode
pre_gate,edge_buffer,0,0.0,within
pre_gate,stability_fail,0,0.0,within
pre_gate,off_component_ratio,250,0.0,within
pre_gate,energy_floor,0,0.0,within
pre_gate,neg_mu,0,0.0,within
pre_gate,eps,0,0.0,within
pre_gate,tvec_compute_error,0,0.0,within
pre_gate,tvec_no_real_root,1671,0.0,within
pre_gate,tvec_no_admissible_root,1079,0.0,within
pre_gate,tvec_singularity,0,0.0,within
pre_gate,tvec_target_zero,0,0.0,within
pre_gate,tvec_off_component,8000,0.0,within
pre_gate,mu_nonfinite,0,0.0,within
pre_gate,unknown,0,0.0,within
post_gate,accepted,0,0.0,within
post_gate,inadmissible_root,0,0.0,within
post_gate,edge_margin,0,0.0,within
post_gate,nonisolated,0,0.0,within
post_gate,stability,0,0.0,within
post_gate,alignment,0,0.0,within
post_gate,delta_frac_min,0,0.0,within
post_gate,delta_frac_max,0,0.0,within
post_gate,soft_cap,0,0.0,within
post_gate,hard_cap,0,0.0,within
pre_gate,edge_buffer,0,12.0,within
pre_gate,stability_fail,0,12.0,within
pre_gate,off_component_ratio,25,12.0,within
pre_gate,energy_floor,0,12.0,within
pre_gate,neg_mu,0,12.0,within
pre_gate,eps,0,12.0,within
pre_gate,tvec_compute_error,0,12.0,within
pre_gate,tvec_no_real_root,66,12.0,within
pre_gate,tvec_no_admissible_root,55,12.0,within
pre_gate,tvec_singularity,0,12.0,within
pre_gate,tvec_target_zero,0,12.0,within
pre_gate,tvec_off_component,411,12.0,within
pre_gate,mu_nonfinite,0,12.0,within
pre_gate,unknown,0,12.0,within
post_gate,accepted,0,12.0,within
post_gate,inadmissible_root,0,12.0,within
post_gate,edge_margin,0,12.0,within
post_gate,nonisolated,0,12.0,within
post_gate,stability,0,12.0,within
post_gate,alignment,0,12.0,within
post_gate,delta_frac_min,0,12.0,within
post_gate,delta_frac_max,0,12.0,within
post_gate,soft_cap,0,12.0,within
post_gate,hard_cap,0,12.0,within
pre_gate,edge_buffer,0,24.0,within
pre_gate,stability_fail,0,24.0,within
pre_gate,off_component_ratio,25,24.0,within
pre_gate,energy_floor,0,24.0,within
pre_gate,neg_mu,0,24.0,within
pre_gate,eps,0,24.0,within
pre_gate,tvec_compute_error,0,24.0,within
pre_gate,tvec_no_real_root,66,24.0,within
pre_gate,tvec_no_admissible_root,55,24.0,within
pre_gate,tvec_singularity,0,24.0,within
pre_gate,tvec_target_zero,0,24.0,within
pre_gate,tvec_off_component,412,24.0,within
pre_gate,mu_nonfinite,0,24.0,within
pre_gate,unknown,0,24.0,within
post_gate,accepted,0,24.0,within
post_gate,inadmissible_root,0,24.0,within
post_gate,edge_margin,0,24.0,within
post_gate,nonisolated,0,24.0,within
post_gate,stability,0,24.0,within
post_gate,alignment,0,24.0,within
post_gate,delta_frac_min,0,24.0,within
post_gate,delta_frac_max,0,24.0,within
post_gate,soft_cap,0,24.0,within
post_gate,hard_cap,0,24.0,within
