rc_run,regime,portfolio,delta_mse_vs_baseline,delta_mse_ci_lower,delta_mse_ci_upper,delta_es_vs_baseline,delta_qlike_vs_baseline,delta_mse_changed_vs_baseline,delta_qlike_changed_vs_baseline,n_changed,changed_frac,median_weight_delta_l2,median_turnover_delta,var95_overlay,var95_baseline,es95_overlay,es95_baseline,realised_var_overlay,realised_var_baseline,realised_es_overlay,realised_es_baseline,dm_stat,dm_p_value,n_effective,n_effective_mse,n_effective_es,n_effective_qlike,comparison_valid_mse,comparison_valid_es,comparison_valid_qlike,comparison_valid_dm,comparison_valid_delta,cap_active,cap_sources,window_coverage
dow-paper-v1_ff5mom_w252,crisis,ew,1.4986104865823998e-10,,,9.94610903670778e-07,-0.0280426846073233,1.4986104865823998e-10,-0.02804268460732337,1008,1.0,0.0,0.0,-0.0068098039970447,-0.00640832630576,-0.0085397689442756,-0.0080362997223508,1.784513123546495e-05,1.784513123546495e-05,-0.0085332827342493,-0.0081989863960131,,,1008.0,1008.0,493.0,1008.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w252,crisis,mv,-1.1186719065665388e-13,,,-6.175217840967977e-08,-0.0193063880201225,-1.118671906564829e-13,-0.019306388020122616,1008,1.0,0.0030789627577891,0.0133725934527868,-0.0042214832308419,-0.0041696935628998,-0.00529391028129,-0.0052289639483091,1.2304284823929132e-05,1.2304284823929132e-05,-0.006078580293246,-0.0060194065715687,,,1008.0,1008.0,649.0,1008.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w126,full,ew,4.8377913766085405e-09,,,-2.2644698540409936e-05,-0.3184013657026124,4.8377913766085405e-09,-0.3184013657026124,1796,1.0,0.0,0.0,-0.018478763680476,-0.0135992920336568,-0.0231731151550943,-0.0170540608545499,0.0001327129159948,0.0001327129159948,-0.0234307155788171,-0.019741829169601,,,1796.0,1796.0,902.0,1796.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w126,full,mv,-6.151598103370174e-12,,,-1.2240691661352244e-06,-0.0839030253658935,-6.151598103370167e-12,-0.08390302536589356,1796,1.0,0.0252365713765984,0.1158637867285483,-0.0079399496775831,-0.0071778332429814,-0.0099570172218116,-0.0090012924663035,2.4040335761408043e-05,2.4040335761408043e-05,-0.0104349046985488,-0.0096389028127535,,,1796.0,1796.0,866.0,1796.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w126,calm,ew,2.415568495000097e-09,,,-1.3977615572791866e-05,-0.253655344611398,2.4155684950000978e-09,-0.253655344611398,867,1.0,0.0,0.0,-0.0144631179055245,-0.0104357921839501,-0.0181373333477141,-0.0130869044160578,6.795961567228287e-05,6.795961567228287e-05,-0.0188042728001097,-0.0156094930117063,,,867.0,867.0,433.0,867.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w126,calm,mv,-1.7474942192903086e-11,,,-9.118876020924796e-07,-0.0934078984975975,-1.7474942192903083e-11,-0.09340789849759759,867,1.0,0.0295894384565582,0.1390718726518667,-0.0068115432446185,-0.0059786902185624,-0.0085419500309007,-0.0074975187359403,1.8232349247104345e-05,1.8232349247104345e-05,-0.0094089837705849,-0.0085726681454989,,,867.0,867.0,464.0,867.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w126,crisis,ew,-3.2633004338023062e-09,,,-2.853960086436889e-05,-0.5291390736602481,-3.263300433802304e-09,-0.5291390736602481,835,1.0,0.0,0.0,-0.0237743420955104,-0.0176433609888483,-0.0298139841302238,-0.0221254864766443,0.0002360043599309,0.0002360043599309,-0.0297323666362964,-0.0250892193347601,,,835.0,835.0,421.0,835.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w126,crisis,mv,8.346356292219052e-11,,,7.606696288881342e-07,-0.0947364472605771,8.346356292219075e-11,-0.09473644726057716,835,1.0,0.0232958897174391,0.104615220655717,-0.0093897412865885,-0.0086799847149562,-0.0117751143893114,-0.0108850510143521,3.048052521821352e-05,3.048052521821352e-05,-0.012063504229626,-0.0113544910335926,,,835.0,835.0,324.0,835.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w252,full,ew,3.120412943940577e-09,,,-2.562064716220943e-06,-0.0327990066509463,3.120412943940578e-09,-0.0327990066509463,1666,1.0,0.0,0.0,-0.0187099682577729,-0.0164571270834874,-0.0234630550226487,-0.0206379013023804,0.0001329973323612,0.0001329973323612,-0.024510161963964,-0.0218078083039951,,,1666.0,1666.0,740.0,1666.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w252,full,mv,9.639339228606278e-13,,,-1.46842209122189e-07,-0.0092719760222629,9.639339228606106e-13,-0.009271976022262969,1666,1.0,0.0087018870784288,0.037841854622439206,-0.0066636294107762,-0.006484392448646,-0.0083564601158865,-0.0081316897343117,1.654795206820252e-05,1.654795206820252e-05,-0.0085702903945106,-0.0083420632224633,,,1666.0,1666.0,662.0,1666.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w252,calm,ew,2.759910418252678e-09,,,1.0299870808972305e-06,0.013944473694648,2.759910418252678e-09,0.013944473694648015,827,1.0,0.0,0.0,-0.0153542806568319,-0.0134160998787999,-0.0192548873905636,-0.0168243305017291,6.752101018112032e-05,6.752101018112032e-05,-0.0202684256012153,-0.0176113867579059,,,827.0,827.0,367.0,827.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w252,calm,mv,2.5215407651636668e-12,,,-1.068564487597838e-08,0.0012739824553173,2.5215407651636668e-12,0.0012739824553173271,827,1.0,0.0105418999876437,0.0478968517797924,-0.0059435807041163,-0.0057407829528473,-0.0074534899883808,-0.007199173426699,1.2151520154954164e-05,1.2151520154954164e-05,-0.0076128699486774,-0.0073224331342993,,,827.0,827.0,387.0,827.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w252,crisis,ew,-1.397060235387603e-09,,,-9.18769502650392e-06,-0.216288561254987,-1.3970602353876043e-09,-0.21628856125498702,811,1.0,0.0,0.0,-0.0224495871030682,-0.01981706306085,-0.028152687924321,-0.0248513965698928,0.0002388524510855,0.0002388524510855,-0.0292161552280356,-0.0268583856584825,,,811.0,811.0,442.0,811.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_noprewhiten_w252,crisis,mv,-7.516256746741546e-13,,,1.0689261875808677e-07,-0.0364438206474456,-7.516256746741953e-13,-0.03644382064744561,811,1.0,0.0076842338755524,0.034228136119078,-0.0074539984490869,-0.00729190669122,-0.0093476147762573,-0.0091443451725279,2.216137704203749e-05,2.216137704203749e-05,-0.0098616179361753,-0.0096693511538658,,,811.0,811.0,335.0,811.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
