rc_run,regime,portfolio,delta_mse_vs_baseline,delta_mse_ci_lower,delta_mse_ci_upper,delta_es_vs_baseline,delta_qlike_vs_baseline,delta_mse_changed_vs_baseline,delta_qlike_changed_vs_baseline,n_changed,changed_frac,median_weight_delta_l2,median_turnover_delta,var95_overlay,var95_baseline,es95_overlay,es95_baseline,realised_var_overlay,realised_var_baseline,realised_es_overlay,realised_es_baseline,dm_stat,dm_p_value,n_effective,n_effective_mse,n_effective_es,n_effective_qlike,comparison_valid_mse,comparison_valid_es,comparison_valid_qlike,comparison_valid_dm,comparison_valid_delta,cap_active,cap_sources,window_coverage
dow-paper-v1_ff5mom_w126,full,ew,2.635418515787517e-11,,,-1.6290149456896657e-07,-0.0671866909475027,2.635418515787518e-11,-0.06718669094750271,1749,1.0,0.0,0.0,-0.0051522270330968,-0.0046493085661886,-0.0064611005588696,-0.0058304205118271,1.1621850546503057e-05,1.1621850546503057e-05,-0.006358920027562,-0.0060262985812755,,,1749.0,1749.0,1002.0,1749.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w126,full,mv,-6.654496181059978e-13,,,-4.875408230380348e-08,-0.0357629174555866,-6.654496181059998e-13,-0.035762917455586664,1749,1.0,0.0058357395750854,0.0242394436772663,-0.0038789791111284,-0.0037841596349261,-0.0048643962973213,-0.0047454888488051,8.93794953655062e-06,8.93794953655062e-06,-0.0053188809840483,-0.0052422881241954,,,1749.0,1749.0,1079.0,1749.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w126,calm,ew,2.205167809697848e-12,,,-3.943798149326378e-08,-0.0034619130274786,2.2051678096978473e-12,-0.003461913027478632,715,1.0,0.0,0.0,-0.004100325056648,-0.0037927087766562,-0.0051419730428943,-0.0047562098174377,6.307134294971275e-06,6.307134294971275e-06,-0.0049748338781563,-0.0048102229047767,,,715.0,715.0,399.0,715.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w126,calm,mv,-4.6407959044200094e-14,,,-4.009936050559496e-08,-0.0045573388581603,-4.640795904419927e-14,-0.004557338858160389,715,1.0,0.0064217101344957,0.0282071612840285,-0.0033243371740435,-0.0032553102582675,-0.0041688529319666,-0.0040822903947895,4.863931045365499e-06,4.863931045365499e-06,-0.004404591124937,-0.0043407696689011,,,715.0,715.0,401.0,715.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w126,crisis,ew,6.560756028001941e-10,,,2.034416179631587e-06,-0.0757245982582765,6.560756028001941e-10,-0.07572459825827654,1034,1.0,0.0,0.0,-0.0068127797881416,-0.0059382518827404,-0.0085435007063653,-0.0074468074313917,1.7933579731046174e-05,1.7933579731046174e-05,-0.0083986666188086,-0.0078969124394084,,,1034.0,1034.0,556.0,1034.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w126,crisis,mv,2.118619364777183e-12,,,-1.679051594921824e-07,-0.0454873058122323,2.118619364777197e-12,-0.0454873058122324,1034,1.0,0.0063145300328073,0.0277770874246475,-0.004653451405275,-0.0045151299572501,-0.0058356157991786,-0.0056621551229708,1.3277343573502398e-05,1.3277343573502398e-05,-0.0067754283560904,-0.0067265431848829,,,1034.0,1034.0,624.0,1034.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w252,full,ew,1.3216196016995945e-11,,,1.0797984735567245e-08,-0.0095291564243905,1.3216196016996004e-11,-0.009529156424390572,1688,1.0,0.0,0.0,-0.0053188369723097,-0.0050806751358039,-0.0066700361442866,-0.0063713715930034,1.1780875092971587e-05,1.1780875092971587e-05,-0.00655429972656,-0.0063879905927383,,,1688.0,1688.0,862.0,1688.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w252,full,mv,3.6290396942467586e-14,,,5.468019904334671e-09,-0.0054396781873731,3.629039694257877e-14,-0.005439678187373168,1688,1.0,0.0024204533482969,0.0091748872224927,-0.0036215842388845,-0.0035849320411587,-0.0045416127432928,-0.0044956494086632,8.329708039299879e-06,8.329708039299879e-06,-0.0049150620635909,-0.0048808050755417,,,1688.0,1688.0,996.0,1688.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w252,calm,ew,1.9950654447098654e-12,,,-2.471927592094238e-08,0.0058934105048897,1.9950654447098654e-12,0.005893410504889797,608,1.0,0.0,0.0,-0.0041608259130388,-0.0040328335206251,-0.0052178435576305,-0.0050573359338704,6.346212319874154e-06,6.346212319874154e-06,-0.0051964505758585,-0.0051110022258627,,,608.0,608.0,317.0,608.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
dow-paper-v1_ff5mom_w252,calm,mv,5.3155456912056563e-14,,,-3.654364612675387e-09,-0.0002222122007261,5.3155456912056185e-14,-0.00022221220072611816,608,1.0,0.0023552575163853,0.0092712671187044,-0.0030976080731913,-0.0030724822538496,-0.0038845254924308,-0.0038530167013104,4.356968905796581e-06,4.356968905796581e-06,-0.0041364291414078,-0.0041183922335268,,,608.0,608.0,376.0,608.0,1.0,1.0,1.0,1.0,1.0,False,,1.0
