rc_run,regime,windows,detection_windows,detections_mean,detection_rate_mean,detection_rate_median,isolation_share_mean,isolation_share_median,edge_margin_mean,edge_margin_median,edge_margin_p10,edge_margin_p90,stability_margin_mean,stability_margin_median,stability_margin_p10,stability_margin_p90,isolation_share_p10,isolation_share_p90,alignment_cos_mean,alignment_cos_median,alignment_cos_p10,alignment_cos_p90,alignment_angle_mean,alignment_angle_median,reason_code_mode,calm_threshold_mean,crisis_threshold_mean,vol_signal_mean,resolved_config_path,cap_active,cap_sources,window_coverage
dow-paper-v1_ff5mom_w126,full,1774,1751,1.9740698985343856,0.0416229200503975,0.0416666666666666,0.9870349492671928,1.0,0.0007179833337235,0.000560506208838,0.00037571941343276003,0.0011749450331639,0.0007179833337235,0.000560506208838,0.00037571941343276003,0.0011749450331639,1.0,1.0,0.9870349492671924,1.0,0.9999999999999992,1.0,7.480288210297378e-07,6.037091348628667e-07,accepted,0.0130481479685975,0.0166464678187772,0.0147765140668982,reports/rc-t-012/dow-paper-v1_ff5mom_w126/resolved_config.json,False,,1.0
dow-paper-v1_ff5mom_w126,calm,733,717,1.956343792633015,0.0409470692122612,0.0425531914893617,0.9781718963165076,1.0,0.000461312693071,0.0004300387663088,0.00032535779240797997,0.0006567057054247,0.000461312693071,0.0004300387663088,0.00032535779240797997,0.0006567057054247,1.0,1.0,0.9781718963165074,1.0,0.9999999999999996,1.0,6.683151573700197e-07,6.037091348628667e-07,accepted,0.0131815180618037,0.0163779484177908,0.0124665786549555,reports/rc-t-012/dow-paper-v1_ff5mom_w126/resolved_config.json,False,,1.0
dow-paper-v1_ff5mom_w126,crisis,1120,1044,1.8642857142857143,0.0397741665501751,0.0416666666666666,0.9321428571428572,1.0,0.0014949175459652,0.0009346205681873,0.00049369825829367,0.0037471970184133306,0.0014949175459652,0.0009346205681873,0.00049369825829367,0.0037471970184133306,1.0,1.0,0.9321428571428568,1.0,0.9999999999999992,1.0,5.628404233834997e-07,4.26886823125797e-07,accepted,0.0129590778221532,0.0168092516764968,0.0196572140748296,reports/rc-t-012/dow-paper-v1_ff5mom_w126/resolved_config.json,False,,1.0
dow-paper-v1_ff5mom_w252,full,1746,1690,1.935853379152348,0.0410603959746591,0.0425531914893617,0.967926689576174,1.0,0.0007936990117551,0.0006028590027081,0.00039076596476969995,0.0019090681381545,0.0007936990117551,0.0006028590027081,0.00039076596476969995,0.0019090681381545,1.0,1.0,0.967926689576174,1.0,0.9999999999999992,1.0,6.581271723093408e-07,4.26886823125797e-07,accepted,0.0130149424904172,0.0166310605048416,0.0147579553587422,reports/rc-t-012/dow-paper-v1_ff5mom_w252/resolved_config.json,False,,1.0
dow-paper-v1_ff5mom_w252,calm,635,610,1.921259842519685,0.040158743774649,0.0416666666666666,0.9606299212598424,1.0,0.0004916700131246,0.0004980724798025,0.00036933590015028,0.000657040261867,0.0004916700131246,0.0004980724798025,0.00036933590015028,0.000657040261867,1.0,1.0,0.9606299212598424,1.0,0.9999999999999992,1.0,7.071857021317637e-07,6.037091348628667e-07,accepted,0.0130035931640555,0.0162506257124429,0.0123114920616754,reports/rc-t-012/dow-paper-v1_ff5mom_w252/resolved_config.json,False,,1.0
dow-paper-v1_ff5mom_w252,crisis,1120,1018,1.8178571428571428,0.0389087058451035,0.0425531914893617,0.9089285714285714,1.0,0.0012133478569943,0.0009123834802069,0.0003598893390794,0.0022735996198395,0.0012133478569943,0.0009123834802069,0.0003598893390794,0.0022735996198395,1.0,1.0,0.9089285714285712,1.0,0.9999999999999992,1.0,5.988578310995887e-07,4.26886823125797e-07,accepted,0.0129590778221532,0.0168092516764968,0.0196572140748296,reports/rc-t-012/dow-paper-v1_ff5mom_w252/resolved_config.json,False,,1.0
dow-paper-v1_noprewhiten_w126,full,1850,1803,1.762702702702703,0.0374906567937861,0.0416666666666666,0.9745945945945946,1.0,0.0054398845305343,0.0032251477197163,0.0017701958173596,0.0115668025176798,0.0054398845305343,0.0032251477197163,0.0017701958173596,0.0115668025176798,1.0,1.0,0.9745945945945944,1.0,0.9999999999999996,1.0,5.638285960587877e-07,4.26886823125797e-07,accepted,0.0159921907430422,0.0234273219904583,0.0193331320617078,reports/rc-t-012/dow-paper-v1_noprewhiten_w126/resolved_config.json,False,,1.0
dow-paper-v1_noprewhiten_w126,calm,885,869,1.7875706214689266,0.0368535473637573,0.04,0.9819209039548022,1.0,0.0035683512211603,0.0021452411297834,0.0010835594498964,0.0086153360940201,0.0035683512211603,0.0021452411297834,0.0010835594498964,0.0086153360940201,1.0,1.0,0.981920903954802,1.0,0.9999999999999994,1.0,5.454466462672202e-07,0.0,accepted,0.0161323940660477,0.0232629929608784,0.0148648916358917,reports/rc-t-012/dow-paper-v1_noprewhiten_w126/resolved_config.json,False,,1.0
dow-paper-v1_noprewhiten_w126,crisis,892,840,1.641255605381166,0.0352171260178342,0.0425531914893617,0.9417040358744396,1.0,0.0094294614669251,0.006076655284047,0.0021055443198188,0.02600576558332,0.0094294614669251,0.006076655284047,0.0021055443198188,0.02600576558332,1.0,1.0,0.9417040358744392,1.0,0.9999999999999996,1.0,5.554361800057095e-07,4.26886823125797e-07,accepted,0.0155907625808019,0.0227660806460731,0.0271447815235652,reports/rc-t-012/dow-paper-v1_noprewhiten_w126/resolved_config.json,False,,1.0
dow-paper-v1_noprewhiten_w252,full,1755,1673,1.7253561253561254,0.0367751976433427,0.0408163265306122,0.9532763532763532,1.0,0.0056767820881911,0.0036997744400669,0.001690251738031,0.0177989454773805,0.0056767820881911,0.0036997744400669,0.001690251738031,0.0177989454773805,1.0,1.0,0.9532763532763532,1.0,0.9999999999999996,1.0,5.152324637450821e-07,4.26886823125797e-07,accepted,0.0158740146405237,0.0231642315913837,0.0191475178404768,reports/rc-t-012/dow-paper-v1_noprewhiten_w252/resolved_config.json,False,,1.0
dow-paper-v1_noprewhiten_w252,calm,854,829,1.7798594847775175,0.0368747446878851,0.0408163265306122,0.9707259953161592,1.0,0.0041015368530397,0.0021671767495244,0.00141972335393386,0.012558448579381102,0.0041015368530397,0.0021671767495244,0.00141972335393386,0.012558448579381102,1.0,1.0,0.9707259953161592,1.0,0.9999999999999996,1.0,5.876530213678818e-07,4.26886823125797e-07,accepted,0.0160574895025731,0.0231194492264452,0.0147955268728056,reports/rc-t-012/dow-paper-v1_noprewhiten_w252/resolved_config.json,False,,1.0
dow-paper-v1_noprewhiten_w252,crisis,892,816,1.6031390134529149,0.0345029722504181,0.0425531914893617,0.9147982062780268,1.0,0.0074373170438642,0.0056374009720652,0.0020385301853488302,0.0196825040187694,0.0074373170438642,0.0056374009720652,0.0020385301853488302,0.0196825040187694,1.0,1.0,0.9147982062780268,1.0,0.9999999999999992,1.0,5.600990184254232e-07,0.0,accepted,0.0155907625808019,0.0227660806460731,0.0271447815235652,reports/rc-t-012/dow-paper-v1_noprewhiten_w252/resolved_config.json,False,,1.0
