theta,z_plus,z_plus_cvec,lambda_top,edge_margin
0.0,1.0119491066469555,5.0265545450572295,0.004025497543466936,-1.0109594564234292
0.05235987755982988,1.0629018830427979,5.072003499683507,0.004768833590697075,-1.0613217551012293
0.10471975511965977,1.1109486589404576,5.103553888392682,0.005642376656651576,-1.1086391282606274
0.15707963267948966,1.1559578118863985,5.121119271897843,0.006617555514937456,-1.1528081298071202
0.20943951023931953,1.1978060930042433,5.124651569286809,0.0076626129564797,-1.1937368983267764
0.2617993877991494,1.2363789673750818,5.114141191709016,0.008750274880058823,-1.2313378293971482
0.3141592653589793,1.2715709316802446,5.089617071467852,0.009859576743415074,-1.2655260677318703
0.36651914291880916,1.303285808374382,5.051146586608052,0.010974927166904295,-1.2962207386326006
0.41887902047863906,1.3314370157706301,4.998835381449449,0.01208463368068392,-1.3233466931372582
0.47123889803846897,1.3559478135431027,4.932827083904174,0.013179679891591526,-1.3468359770921405
0.5235987755982988,1.3767515232861864,4.853302920835607,0.014252869005609736,-1.3666289088504353
0.5759586531581287,1.3937917239158713,4.760481233191644,0.01529825904620983,-1.382674840041409
0.6283185307179586,1.4070224218550667,4.654616893198974,0.016310797346510503,-1.3949326917741214
0.6806784082777885,1.4164081961093613,4.536000626581697,0.01728608420146041,-1.403371336496229
0.7330382858376183,1.4219243185037738,4.404958243634221,0.018220219010366454,-1.4079698724489187
0.7853981633974483,1.4235568494973976,4.261849784144067,0.019109699204186266,-1.4087178208417035
0.8377580409572781,1.4213027100880513,4.1070685828038895,0.01995135326870017,-1.4056152649496154
0.890117918517108,1.4151697303027377,3.9410402641705726,0.02074229606612705,-1.398672943427519
0.9424777960769379,1.4051766745378278,3.764221679923752,0.021479898928741047,-1.3879123056327003
0.9948376736367678,1.3913532433952878,3.5770998069988886,0.02216176965496082,-1.3733655334705128
1.0471975511965976,1.3737400503965151,3.3801906345800496,0.02278573920815285,-1.355075531339552
1.0995574287564276,1.3523885696774496,3.17403808341029,0.02334985298195196,-1.3330958824045298
1.1519173063162573,1.3273610470425288,2.9592130264669594,0.02385236518354779,-1.3074907650001086
1.2042771838760873,1.2987303612399332,2.7363125217208686,0.02429173533799279,-1.2783348169856603
1.2566370614359172,1.2665798151868546,2.5059594314203246,0.024666626217950773,-1.2457129284144646
1.308996938995747,1.2310028295937787,2.2688026817733906,0.02497590270769942,-1.2097199353748607
1.361356816555577,1.1921025078380034,2.0255184427043944,0.025218631251173365,-1.1704601841103441
1.413716694115407,1.1499910477061703,1.776812184814016,0.025394079632824154,-1.1280469412164646
1.4660765716752366,1.104789000388367,1.5234200468899413,0.02550171691099585,-1.082601650478536
