label,strategy,estimator,n_windows,mean_mse,median_mse,iqr_mse,coverage_error,sign_test_p_de_vs_lw,sign_test_p_de_vs_alias,delta_median_de_minus_lw,delta_median_de_minus_alias,ci_lo_de_minus_lw,ci_hi_de_minus_lw,ci_lo_de_minus_alias,ci_hi_de_minus_alias
smoke,Equal Weight,Aliased,31,3.211788013048448e-07,2.9027872645948754e-07,4.2457518795516276e-07,-0.01774193548387097,,,,,,,,
smoke,Equal Weight,De-aliased,31,1.7566906139894936e-07,1.694616994409933e-07,2.3791471878379887e-07,-0.01774193548387097,0.010673840530216694,0.0008779102936387062,-5.139548556500298e-08,-1.6344818944089557e-07,-1.3849287491799786e-07,-4.058814071290822e-08,-3.153512415190523e-07,-1.3105769993635546e-07
smoke,Equal Weight,Ledoit-Wolf,31,2.2833559525945056e-07,1.9650399266097736e-07,2.91741016322637e-07,-0.01774193548387097,,,,,,,,
smoke,Equal Weight,SCM,31,3.211788013048448e-07,2.9027872645948754e-07,4.245751879551629e-07,-0.01774193548387097,,,,,,,,
smoke,Min-Variance (box),Aliased,31,2.3785676809126126e-08,8.469433040734956e-09,1.8525420281026878e-08,0.40161290322580645,,,,,,,,
smoke,Min-Variance (box),De-aliased,31,1.189673986870419e-08,3.100108505978403e-09,5.6799172805676625e-09,0.01451612903225806,0.28104151505976915,0.010673840530216694,-2.747931409308449e-09,-6.5327629839861e-09,-5.474351146176797e-09,1.946805593577898e-10,-1.0076182034097615e-08,-2.3396198792543456e-09
smoke,Min-Variance (box),Ledoit-Wolf,31,1.8753618345099918e-08,4.735829233507293e-09,1.3008674270879738e-08,0.16774193548387095,,,,,,,,
smoke,Min-Variance (box),SCM,31,2.3785676809126126e-08,8.469433040734953e-09,1.8525420281026874e-08,0.40161290322580645,,,,,,,,
smoke,Min-Variance (long-only),Aliased,31,1.206981127747572e-10,1.1694031613629096e-11,9.075742952335843e-11,0.022580645161290325,,,,,,,,
smoke,Min-Variance (long-only),De-aliased,31,1.1468124544345052e-10,1.8619490842843535e-11,8.866340464875706e-11,0.022580645161290325,9.313225746154785e-10,1.0,-6.811381361496137e-08,-2.24062740428283e-13,-6.982933023063888e-08,-5.4070360753036056e-08,-9.713506295879819e-12,3.763436622250381e-12
smoke,Min-Variance (long-only),Ledoit-Wolf,31,6.176216252193156e-08,6.811827597233335e-08,1.4930525745954058e-08,-0.05,,,,,,,,
smoke,Min-Variance (long-only),SCM,31,1.206981127747572e-10,1.1694031613629114e-11,9.075742952335844e-11,0.022580645161290325,,,,,,,,
