window_id,fit_start,fit_end,hold_start,hold_end,n_obs,n_assets,injected
0,2024-01-02,2024-02-28,2024-02-29,2024-03-06,30,19,0
1,2024-01-03,2024-02-29,2024-03-01,2024-03-07,25,19,0
2,2024-01-04,2024-03-01,2024-03-04,2024-03-08,25,19,0
3,2024-01-05,2024-03-04,2024-03-05,2024-03-11,30,19,0
4,2024-01-08,2024-03-05,2024-03-06,2024-03-12,30,19,0
5,2024-01-09,2024-03-06,2024-03-07,2024-03-13,30,19,0
6,2024-01-10,2024-03-07,2024-03-08,2024-03-14,30,19,0
7,2024-01-11,2024-03-08,2024-03-11,2024-03-15,30,19,0
8,2024-01-12,2024-03-11,2024-03-12,2024-03-18,35,19,0
9,2024-01-16,2024-03-12,2024-03-13,2024-03-19,35,19,0
10,2024-01-17,2024-03-13,2024-03-14,2024-03-20,30,19,0
11,2024-01-18,2024-03-14,2024-03-15,2024-03-21,30,19,0
12,2024-01-19,2024-03-15,2024-03-18,2024-03-22,30,19,0
13,2024-01-22,2024-03-18,2024-03-19,2024-03-25,35,19,0
14,2024-01-23,2024-03-19,2024-03-20,2024-03-26,35,19,0
15,2024-01-24,2024-03-20,2024-03-21,2024-03-27,30,19,0
16,2024-01-25,2024-03-21,2024-03-22,2024-03-28,30,19,0
17,2024-01-26,2024-03-22,2024-03-25,2024-04-01,30,19,0
18,2024-01-29,2024-03-25,2024-03-26,2024-04-02,35,19,0
19,2024-01-30,2024-03-26,2024-03-27,2024-04-03,35,19,0
20,2024-01-31,2024-03-27,2024-03-28,2024-04-04,30,19,0
21,2024-02-01,2024-03-28,2024-04-01,2024-04-05,30,19,0
22,2024-02-02,2024-04-01,2024-04-02,2024-04-08,30,19,0
23,2024-02-05,2024-04-02,2024-04-03,2024-04-09,30,19,0
24,2024-02-06,2024-04-03,2024-04-04,2024-04-10,30,19,0
25,2024-02-07,2024-04-04,2024-04-05,2024-04-11,25,19,0
26,2024-02-08,2024-04-05,2024-04-08,2024-04-12,25,19,0
27,2024-02-09,2024-04-08,2024-04-09,2024-04-15,30,19,0
28,2024-02-12,2024-04-09,2024-04-10,2024-04-16,30,19,0
29,2024-02-13,2024-04-10,2024-04-11,2024-04-17,30,19,1
30,2024-02-14,2024-04-11,2024-04-12,2024-04-18,30,19,0
31,2024-02-15,2024-04-12,2024-04-15,2024-04-19,30,19,1
32,2024-02-16,2024-04-15,2024-04-16,2024-04-22,35,19,0
33,2024-02-20,2024-04-16,2024-04-17,2024-04-23,35,19,1
