==== Top cumulative (30) ===
         1954806978 function calls in 878.678 seconds

   Ordered by: cumulative time
   List reduced from 185 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
160400683  115.724    0.000  115.724    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 67211758   21.436    0.000  111.193    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/fromnumeric.py:2477(any)
 62016482   29.135    0.000   82.110    0.000 {method 'all' of 'numpy.generic' objects}
 18124395   42.124    0.000   78.621    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:112(_prepare_inputs)
 31067093   15.698    0.000   62.532    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/fromnumeric.py:2338(sum)
 62016482    9.571    0.000   52.975    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/_methods.py:66(_all)
    11568    0.026    0.000   46.348    0.004 /root/fjs-dealias-portfolio/src/fjs/mp.py:558(mp_edge)
     8712    0.046    0.000   46.096    0.005 /root/fjs-dealias-portfolio/src/fjs/mp.py:579(_mp_edge_impl)
 31170515   18.005    0.000   44.121    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
155041205   22.933    0.000   34.868    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/numeric.py:2465(<genexpr>)
 18078640   20.648    0.000   22.770    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:211(_k_values)
   147524    0.909    0.000   21.650    0.000 /root/fjs-dealias-portfolio/src/fjs/mp.py:367(_newton_refine)
 31020773   11.034    0.000   20.940    0.000 /usr/local/lib/python3.12/dist-packages/numpy/_core/_ufunc_config.py:448(__enter__)



==== fjs.dealias / fjs.mp ===
         1954806978 function calls in 878.678 seconds

   Ordered by: cumulative time
   List reduced from 185 to 53 due to restriction <'fjs.dealias'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      482    0.002    0.000  878.666    1.823 /root/fjs-dealias-portfolio/experiments/eval/inject_spike.py:171(_window_detection_stats)
      482    0.015    0.000  878.664    1.823 /root/fjs-dealias-portfolio/src/fjs/overlay.py:340(detect_spikes)
      482    0.566    0.001  878.641    1.823 /root/fjs-dealias-portfolio/src/fjs/dealias.py:405(dealias_search)
    87471    0.911    0.000  830.380    0.009 /root/fjs-dealias-portfolio/src/fjs/mp.py:760(t_vec)
    87471    0.255    0.000  826.801    0.009 /root/fjs-dealias-portfolio/src/fjs/mp.py:644(admissible_m_from_lambda)
    73191    0.700    0.000  825.047    0.011 /root/fjs-dealias-portfolio/src/fjs/mp.py:669(_admissible_m_from_lambda_impl)
