design,window_id,window_start,regime,vol_signal,calm_threshold,crisis_threshold,vol_state_label
daily_dow,0,2023-03-30T00:00:00,full,0.023607907436753,0.0225436709817848,0.0257654419883306,mid
daily_dow,1,2023-03-31T00:00:00,full,0.0232729701037366,0.0225436810493864,0.0257229594043822,mid
daily_dow,2,2023-04-03T00:00:00,full,0.0228253325282411,0.022543796602895,0.0257054381779999,mid
daily_dow,3,2023-04-04T00:00:00,calm,0.0224391180793823,0.0225439121564036,0.0256879169516175,calm
daily_dow,4,2023-04-05T00:00:00,calm,0.0221387726179698,0.0225436609141833,0.0256703957252351,calm
daily_dow,5,2023-04-06T00:00:00,calm,0.0214307966790071,0.0225335117136755,0.0256528744988527,calm
daily_dow,6,2023-04-10T00:00:00,calm,0.0212214812443443,0.0224930357228632,0.0256353532724704,calm
daily_dow,7,2023-04-11T00:00:00,calm,0.0223514899223259,0.0224547416676167,0.0256287267672417,calm
daily_dow,8,2023-04-12T00:00:00,full,0.0239480707091448,0.0224415381091514,0.025622100262013,mid
daily_dow,9,2023-04-13T00:00:00,full,0.0236380310345872,0.022442748124036,0.0256154737567843,mid
daily_dow,10,2023-04-14T00:00:00,full,0.023122279996581,0.0224439581389205,0.0256088472515556,mid
daily_dow,11,2023-04-17T00:00:00,full,0.0224773836304666,0.0224451681538051,0.0256022207463269,mid
daily_dow,12,2023-04-18T00:00:00,calm,0.022013130530369,0.0224516112491374,0.0255561810323505,calm
daily_dow,13,2023-04-19T00:00:00,full,0.0233432037728583,0.0224415381091514,0.0255101413183741,mid
daily_dow,14,2023-04-20T00:00:00,full,0.0239791279134531,0.022442748124036,0.0254641016043978,mid
daily_dow,15,2023-04-21T00:00:00,full,0.0246327182045509,0.0224439581389205,0.0254180618904214,mid
daily_dow,16,2023-04-24T00:00:00,full,0.0240089281804883,0.0224451681538051,0.025372022176445,mid
daily_dow,17,2023-04-25T00:00:00,crisis,0.0255528360111205,0.0224516112491374,0.0253665428842677,crisis
daily_dow,18,2023-04-26T00:00:00,full,0.0247065276805735,0.0224580543444697,0.0254805104772503,mid
daily_dow,19,2023-04-27T00:00:00,full,0.0247980316689896,0.022464497439802,0.0254443477103152,mid
daily_dow,20,2023-04-28T00:00:00,full,0.0242177589332868,0.0224709405351343,0.0254081849433801,mid
daily_dow,21,2023-05-01T00:00:00,full,0.0241364783109494,0.0224773836304666,0.025372022176445,mid
daily_dow,22,2023-05-02T00:00:00,full,0.0241581619503969,0.0224805140489459,0.0253665428842677,mid
daily_dow,23,2023-05-03T00:00:00,full,0.0239686837069781,0.0224836444674252,0.0253610635920904,mid
daily_dow,24,2023-05-04T00:00:00,full,0.0238214380667761,0.0224867748859046,0.0253555842999131,mid
daily_dow,25,2023-05-05T00:00:00,crisis,0.0261892033123098,0.0224899053043839,0.0253501050077358,crisis
daily_dow,26,2023-05-08T00:00:00,full,0.0253155956118078,0.0224930357228632,0.025372022176445,mid
daily_dow,27,2023-05-09T00:00:00,full,0.0246652538267175,0.0225031547205663,0.0253665428842677,mid
daily_dow,28,2023-05-10T00:00:00,full,0.0244446354413273,0.0225132737182694,0.0253610635920904,mid
daily_dow,29,2023-05-11T00:00:00,full,0.0241238600826072,0.0225233927159724,0.0253555842999131,mid
