run,run_path,crisis_label,design,label,strategy,estimator,n_windows,mean_mse,median_mse,iqr_mse,coverage_error,mean_qlike,median_qlike,sign_test_p_de_vs_lw,sign_test_p_de_vs_alias,delta_median_de_minus_lw,delta_median_de_minus_alias,ci_lo_de_minus_lw,ci_hi_de_minus_lw,ci_lo_de_minus_alias,ci_hi_de_minus_alias,dm_stat_de_vs_lw,dm_p_de_vs_lw,dm_stat_de_vs_oas,dm_p_de_vs_oas,dm_stat_de_vs_cc,dm_p_de_vs_cc,dm_stat_de_vs_factor,dm_p_de_vs_factor,dm_stat_de_vs_lw_qlike,dm_p_de_vs_lw_qlike,dm_stat_de_vs_oas_qlike,dm_p_de_vs_oas_qlike,var_kupiec_p,var_independence_p,es_shortfall_p,dm_stat_de_vs_poet,dm_p_de_vs_poet,dm_stat_de_vs_tyler,dm_p_de_vs_tyler,substitution_fraction,skip_no_isolated_share,edge_margin_median,edge_margin_iqr,edge_margin_count,edge_mode,gating_mode,delta_frac_used_min,delta_frac_used_max
oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_crisis_tyler/oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,crisis_20200215_20200531,oneway,crisis_20200215_20200531_oneway_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),Ledoit-Wolf,6,1.5048576333469406e-07,4.3431019479085385e-08,2.089546386500283e-07,0.2833333333333333,-8.59691938123084,-8.476067690456055,,,,,,,,,,,,,,,,,,,,,0.0294667458194609,0.0252884557869716,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_crisis_tyler/oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,crisis_20200215_20200531,oneway,crisis_20200215_20200531_oneway_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),SCM,6,4.421761058860531e-13,2.209138005258699e-37,9.703466334439558e-28,0.45,-25.24712665438633,-27.631021115928547,,,,,,,,,,,,,,,,,,,,,0.0015959728570581,0.7098338753206082,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_crisis_tyler/oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,crisis_20200215_20200531,oneway,crisis_20200215_20200531_oneway_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),OAS,6,1.7796712334005166e-07,5.4470971478338086e-08,3.306202404121503e-07,0.1166666666666666,-8.460123234752013,-8.3639838711748,,,,,,,,,,,,,,,,,,,,,0.3144512343172992,1.2814261507613736e-09,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_crisis_tyler/oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,crisis_20200215_20200531,oneway,crisis_20200215_20200531_oneway_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),Constant-Correlation,6,1.0115460883442632e-05,1.030378236637404e-05,1.1039345944154286e-05,-0.05,-6.103441679297635,-5.755381708934976,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_crisis_tyler/oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,crisis_20200215_20200531,oneway,crisis_20200215_20200531_oneway_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),Tyler-Shrink,6,5.5958304761956907e-08,5.930806369920498e-09,4.635725395557094e-08,0.2833333333333333,-9.312899586250795,-9.472393661702435,,,,,,,,,,,,,,,,,,,,,0.0294667458194609,0.0252884557869716,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_crisis_tyler/oneway_J5_solver-auto_est-dealias_prep-none__crisis_20200215_20200531,crisis_20200215_20200531,oneway,crisis_20200215_20200531_oneway_J5_solver-auto_est-dealias_prep-none,Min-Variance (long-only),POET-lite,6,4.4217610588619933e-13,5.3401126507377535e-37,9.70376214960699e-28,0.45,-25.247126654386303,-27.631021115928547,,,,,,,,,,,,,,,,,,,,,0.0015959728570581,0.7098338753206082,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Equal Weight,Aliased,24,4.733982914478709e-07,4.6590044660816244e-07,2.1504360237144466e-07,-0.05,-7.308059580512624,-7.290155059975279,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Equal Weight,De-aliased,24,4.733982914478709e-07,4.6590044660816244e-07,2.1504360237144466e-07,-0.05,-7.308059580512624,-7.290155059975279,0.8388197422027588,,-5.2215672764724185e-08,0.0,-1.567004845471053e-07,7.39507708562547e-08,0.0,0.0,,,,,,,,,-0.3497290266796097,0.7297241626460065,-0.5941976623404965,0.5581799289550098,0.2218524837076865,,,,,-65.82692843390264,0.0,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Equal Weight,Ledoit-Wolf,24,4.770694907841789e-07,4.947062852423502e-07,8.034355550027536e-08,-0.05,-7.28250981075293,-7.25965708308363,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
nested_J5_solver-auto_est-dealias_prep-none,/Users/mateobodon/Documents/Programming/Projects/fjs-dealias-portfolio/experiments/equity_panel/outputs_nested_smoke/nested_J5_solver-auto_est-dealias_prep-none,,nested,full_nested_J5_solver-auto_est-dealias_prep-none,Equal Weight,SCM,24,6.259573942786866e-07,6.491944438821948e-07,9.385636841272705e-08,-0.05,-7.146286728327719,-7.123781454424273,,,,,,,,,,,,,,,,,,,,,0.2218524837076865,,,,,,,0.0,0.0,,,0,tyler,fixed,0.02,0.02
