estimator,portfolio,violation_rate,kupiec_p,christoffersen_p
overlay,ew,0.0,0.06818550867030827,
overlay,mv,0.0,0.06818550867030827,
rie,ew,0.23809523809523808,3.577216910344502e-05,0.20150042935062634
rie,mv,0.40476190476190477,4.89771859805032e-12,0.9749577006620538
ewma,ew,0.23809523809523808,3.577216910344502e-05,0.20150042935062634
ewma,mv,0.3333333333333333,7.96798311795432e-09,0.4003610389822494
sample,ew,0.23809523809523808,3.577216910344502e-05,0.20150042935062634
sample,mv,0.3333333333333333,7.96798311795432e-09,0.4003610389822494
