portfolio,baseline,dm_stat,p_value,n_effective,dm_stat_qlike,p_value_qlike,n_effective_qlike
ew,baseline,,,320,,,320
ew,lw,,,320,2.1983597451089123,0.02864137691625035,320
ew,oas,,,320,2.2209254421956746,0.027057974871324664,320
mv,baseline,,,320,,,320
mv,lw,,,320,1.7639889550185146,0.07869096056551128,320
mv,oas,,,320,1.802377938372482,0.07242977861692856,320
