window_id,regime,detections,detection_rate,edge_margin_mean,stability_margin_mean,isolation_share,alignment_cos_mean,alignment_angle_mean,reason_code,resolved_config_path,calm_threshold,crisis_threshold,vol_signal
36,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.01922432824166329,0.025557096698158498,0.021772396294445058
37,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.0192304183965003,0.025534050894841794,0.021330869722402064
38,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.01923650855133731,0.02551100509152509,0.022025110595629577
39,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.01924259870617432,0.02548795928820839,0.022371397575635586
40,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.01924868886101133,0.025464913484891685,0.02171205496888794
41,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.019260506468652572,0.025460190264439596,0.02365899061233877
42,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.019272324076293815,0.025455467043987504,0.023426092395562523
43,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.019284141683935056,0.025450743823535415,0.023159804798006854
44,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.0192959592915763,0.025446020603083326,0.023438773118223774
45,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.01930777689921754,0.025441297382631234,0.02283114874979619
46,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.019337048984611045,0.025433208564575854,0.022065863238316653
47,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.01936632107000455,0.02542511974652047,0.021314868535260174
48,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.019395593155398058,0.025417030928465086,0.02201235522440232
49,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.019424865240791563,0.025408942110409706,0.021627619976591163
50,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.01945413732618507,0.025400853292354322,0.02113252288926279
51,full,0,0.0,0.0,0.0,0.0,,,detection_error,reports/rc-20251103/resolved_config.json,0.01945725880135465,0.02539901377716295,0.020641586609461308
