regime,estimator,portfolio,mse_mean,es_mse_mean,var95,es95,realised_var,realised_es,violation_rate,count,qlike_mean,mv_turnover_mean,mv_turnover_cost_bps,cov_condition_median,cov_condition_p90,baseline_mse,baseline_es_mse,baseline_qlike_mean,delta_mse_vs_baseline,delta_es_vs_baseline,delta_qlike_vs_baseline,delta_mse_ci_lower,delta_mse_ci_upper
calm,baseline,ew,8.766630341616002e-12,1.56401058005515e-06,-0.0038550071906900693,-0.0048343345419781985,5.544688112947698e-06,-0.0056779397396203865,0.06308748149869522,59,0.139337417401057,0.0,0.0,8.921007903563762,10.93864316134399,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,0.0,0.0,0.0,,
calm,baseline,mv,4.4475285606277834e-12,6.179661923044145e-07,-0.00322206751601768,-0.0040406026548764655,4.0138038428297e-06,-0.004222070221653192,0.0966909317994221,59,0.1275113799046972,0.0033384848096955234,0.01669242404847762,8.921007903563762,10.93864316134399,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,0.0,0.0,0.0,,
calm,cc,ew,2.4475872777785497e-11,3.9238350052469595e-07,-0.005027658499888282,-0.006304886592683476,5.544688112947698e-06,-0.005898233097064276,0.05270316868942046,59,0.23013233431563077,0.0,0.0,1905.8505879651686,4958.297696280221,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,1.5709242436169495e-11,-1.171627079530454e-06,0.09079491691457375,,
calm,cc,mv,8.254259246375662e-12,1.908809501834078e-06,-0.003980678693024966,-0.004991931675946483,4.0138038428297e-06,-0.006174012872519543,0.03277071458973122,59,0.17780415040767217,0.0033384848096955234,0.01669242404847762,1905.8505879651686,4958.297696280221,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,3.806730685747878e-12,1.2908433095296635e-06,0.05029277050297498,,
calm,ewma,ew,1.3579548629397483e-11,9.540268240105362e-07,-0.0042972648622682935,-0.005388943504402141,5.544688112947698e-06,-0.005715593683761352,0.06147327649465971,59,0.17471798291213594,0.0,0.0,18315.312529027917,23176.15679990937,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,4.812918287781481e-12,-6.099837560446137e-07,0.03538056551107893,,
calm,ewma,mv,5.258924929394618e-12,5.67235047455356e-07,-0.003018883614392275,-0.003785801845068958,4.0138038428297e-06,-0.003819421593771147,0.12978232178985183,59,0.17878970687623577,0.0033384848096955234,0.01669242404847762,18315.312529027917,23176.15679990937,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,8.113963687668345e-13,-5.0731144849058414e-08,0.051278326971538585,,
calm,lw,ew,9.395050604475445e-12,1.2905683232385172e-06,-0.004013058466130593,-0.005032537217737425,5.544688112947698e-06,-0.005715593683761352,0.06147327649465971,59,0.1409144073524837,0.0,0.0,16.880036925364525,23.941794847904983,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,6.284202628594431e-13,-2.734422568166327e-07,0.0015769899514266883,,
calm,lw,mv,4.444959882318104e-12,6.781699887725288e-07,-0.003124459193926401,-0.003918197881103285,4.0138038428297e-06,-0.004141495626958329,0.10588140549112895,59,0.13131310551915568,0.0033384848096955234,0.01669242404847762,16.880036925364525,23.941794847904983,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,-2.5686783096793833e-15,6.020379646811432e-08,0.00380172561445849,,
calm,oas,ew,9.596066410977626e-12,1.2322252148175755e-06,-0.004043037755123362,-0.0050701324556066815,5.544688112947698e-06,-0.005715593683761352,0.06147327649465971,59,0.14220127826777126,0.0,0.0,19.24634544618026,29.202180972199038,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,8.294360693616238e-13,-3.3178536523757443e-07,0.0028638608667142518,,
calm,oas,mv,4.445351683783434e-12,6.801640649224423e-07,-0.0031096110708096723,-0.0038995777356882265,4.0138038428297e-06,-0.0040931500538535625,0.10787542343729047,59,0.13185374221962762,0.0033384848096955234,0.01669242404847762,19.24634544618026,29.202180972199038,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,-2.1768768443491327e-15,6.219787261802787e-08,0.004342362314930431,,
calm,overlay,ew,8.766630341616002e-12,1.56401058005515e-06,-0.0038550071906900693,-0.0048343345419781985,5.544688112947698e-06,-0.0056779397396203865,0.06308748149869522,59,0.139337417401057,0.0,0.0,8.921007903563762,10.93864316134399,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,0.0,0.0,0.0,,
calm,overlay,mv,4.4475285606277834e-12,6.179661923044145e-07,-0.00322206751601768,-0.0040406026548764655,4.0138038428297e-06,-0.004222070221653192,0.0966909317994221,59,0.1275113799046972,0.0033384848096955234,0.01669242404847762,8.921007903563762,10.93864316134399,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,0.0,0.0,0.0,,
calm,quest,ew,8.77627488146527e-12,8.547391547315239e-07,-0.0041274986950223455,-0.005176049881698048,5.544688112947698e-06,-0.005715593683761352,0.06147327649465971,59,0.12818883247214538,0.0,0.0,24.15912486498381,28.73629371675276,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,9.644539849267803e-15,-7.09271425323626e-07,-0.011148584928911631,,
calm,quest,mv,4.2652798659239474e-12,5.940008212158053e-07,-0.003178303372647085,-0.003985720653486818,4.0138038428297e-06,-0.0041646486395389825,0.1000892581237074,59,0.12303111738596814,0.0033384848096955234,0.01669242404847762,24.15912486498381,28.73629371675276,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,-1.82248694703836e-13,-2.3965371088609135e-08,-0.004480262518729045,,
calm,rie,ew,8.766630341616002e-12,1.56401058005515e-06,-0.0038550071906900693,-0.0048343345419781985,5.544688112947698e-06,-0.0056779397396203865,0.06308748149869522,59,0.139337417401057,0.0,0.0,8.921007903563762,10.93864316134399,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,0.0,0.0,0.0,,
calm,rie,mv,4.4475285606277834e-12,6.179661923044145e-07,-0.00322206751601768,-0.0040406026548764655,4.0138038428297e-06,-0.004222070221653192,0.0966909317994221,59,0.1275113799046972,0.0033384848096955234,0.01669242404847762,8.921007903563762,10.93864316134399,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,0.0,0.0,0.0,,
calm,sample,ew,1.1235318843101472e-11,7.661025428755739e-07,-0.004280736165308511,-0.0053682158515875,5.544688112947698e-06,-0.005715593683761352,0.06147327649465971,59,0.15126331702679718,0.0,0.0,11196.689389323068,13564.6205244802,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,2.4686885014854706e-12,-7.97908037179576e-07,0.011925899625740172,,
calm,sample,mv,4.608512714765811e-12,4.929694328945345e-07,-0.0030145711318020066,-0.003780393817919706,4.0138038428297e-06,-0.0038132651998384315,0.12497234695245925,59,0.14292171248342955,0.0033384848096955234,0.01669242404847762,11196.689389323068,13564.6205244802,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,1.6098415413802792e-13,-1.2499675940987995e-07,0.015410332578732366,,
calm,scm,ew,1.1235318843101472e-11,7.661025428755739e-07,-0.004280736165308511,-0.0053682158515875,5.544688112947698e-06,-0.005715593683761352,0.06147327649465971,59,0.15126331702679718,0.0,0.0,11196.689389323068,13564.6205244802,8.766630341616002e-12,1.56401058005515e-06,0.139337417401057,2.4686885014854706e-12,-7.97908037179576e-07,0.011925899625740172,,
calm,scm,mv,4.608512714765811e-12,4.929694328945345e-07,-0.0030145711318020066,-0.003780393817919706,4.0138038428297e-06,-0.0038132651998384315,0.12497234695245925,59,0.14292171248342955,0.0033384848096955234,0.01669242404847762,11196.689389323068,13564.6205244802,4.4475285606277834e-12,6.179661923044145e-07,0.1275113799046972,1.6098415413802792e-13,-1.2499675940987995e-07,0.015410332578732366,,
