window_id,window_start,regime,vol_signal,calm_threshold,crisis_threshold,vol_state_label
0.0,2018-07-03T00:00:00,calm,0.025023222757808525,0.027349182238371388,0.03271348294819596,calm
1.0,2018-07-05T00:00:00,calm,0.024949950673241576,0.02725639682473115,0.03269828834155793,calm
2.0,2018-07-06T00:00:00,calm,0.024045473180480375,0.027178278473781334,0.032683093734919885,calm
3.0,2018-07-09T00:00:00,calm,0.0236932480579646,0.02714058294478933,0.03266789912828185,calm
4.0,2018-07-10T00:00:00,calm,0.023488479759678514,0.027113125579082024,0.03265270452164381,calm
5.0,2018-07-11T00:00:00,calm,0.02348356421887368,0.02700978130004579,0.032637509915005775,calm
6.0,2018-07-12T00:00:00,calm,0.023661354237517786,0.027001726969456557,0.03261244292181167,calm
7.0,2018-07-13T00:00:00,calm,0.02352571877251802,0.026894048199239684,0.03258737592861756,calm
8.0,2018-07-16T00:00:00,calm,0.022989300558651327,0.026778779625516502,0.03256230893542345,calm
9.0,2018-07-17T00:00:00,calm,0.022715137683985757,0.026644846790959596,0.03253724194222934,calm
10.0,2018-07-18T00:00:00,calm,0.02351946282580302,0.02637806614479279,0.03251217494903523,calm
11.0,2018-07-19T00:00:00,calm,0.024035217065185892,0.026190774741558023,0.03247614627068066,calm
12.0,2018-07-20T00:00:00,calm,0.02472918767399568,0.0259796454955816,0.0324401175923261,calm
13.0,2018-07-23T00:00:00,calm,0.023808987037220106,0.025856710828544294,0.032404088913971535,calm
14.0,2018-07-24T00:00:00,calm,0.02301477133314237,0.02582699357951926,0.03236806023561697,calm
15.0,2018-07-25T00:00:00,calm,0.023242279360333542,0.025788507004972032,0.0323320315572624,calm
16.0,2018-07-26T00:00:00,calm,0.023199292694360184,0.02574605277946528,0.03232184263244444,calm
17.0,2018-07-27T00:00:00,calm,0.02492925837235619,0.0255841880361652,0.032311653707626474,calm
18.0,2018-07-30T00:00:00,full,0.025950099799580812,0.025299301450053175,0.032301464782808514,mid
19.0,2018-07-31T00:00:00,full,0.0254935453961991,0.02539132768080139,0.03229127585799055,mid
,,full,0.025857744752395915,0.025483353911549607,0.03228108693317259,mid
,,full,0.027947243765503144,0.025485392208479507,0.032274239915939175,mid
,,full,0.02821120314551302,0.025487430505409404,0.03226739289870576,mid
,,full,0.027943588594231388,0.025489468802339304,0.032260545881472355,mid
24.0,2018-08-07T00:00:00,full,0.028176869346818,0.0254915070992692,0.03225369886423894,mid
25.0,2018-08-08T00:00:00,full,0.028081774210510474,0.0254935453961991,0.03224685184700553,mid
26.0,2018-08-09T00:00:00,full,0.0284541313050083,0.025541924161577,0.03220792875103748,mid
27.0,2018-08-10T00:00:00,full,0.029672644313836486,0.025590302926954897,0.03216900565506942,mid
28.0,2018-08-13T00:00:00,full,0.02988411025112167,0.025638681692332795,0.032130082559101374,mid
29.0,2018-08-14T00:00:00,full,0.02927892166978298,0.025687060457710693,0.03209115946313332,mid
30.0,2018-08-15T00:00:00,full,0.028757190646864383,0.02573543922308859,0.03205223636716527,mid
31.0,2018-08-16T00:00:00,full,0.030025995542370277,0.02574605277946528,0.03203670646748474,mid
32.0,2018-08-17T00:00:00,full,0.029421468539361277,0.025756666335841966,0.0320211765678042,mid
33.0,2018-08-20T00:00:00,full,0.029125462853946522,0.025767279892218657,0.032005646668123666,mid
34.0,2018-08-21T00:00:00,full,0.028362321933988553,0.025777893448595345,0.03199011676844313,mid
35.0,2018-08-22T00:00:00,full,0.027487198661293667,0.025788507004972032,0.031974586868762596,mid
36.0,2018-08-23T00:00:00,full,0.026789839008607826,0.02579812864860884,0.0319695425620126,mid
37.0,2018-08-24T00:00:00,full,0.02635179038037059,0.025807750292245645,0.031964498255262604,mid
38.0,2018-08-27T00:00:00,calm,0.02557791425223394,0.025817371935882454,0.03195945394851261,calm
39.0,2018-08-28T00:00:00,calm,0.024974513299938154,0.025777893448595345,0.03195440964176261,calm
40.0,2018-08-29T00:00:00,calm,0.024314716927344472,0.02573543922308859,0.031949365335012615,calm
41.0,2018-08-30T00:00:00,calm,0.023606610988891934,0.02560941924640487,0.03194016554567814,calm
42.0,2018-08-31T00:00:00,calm,0.023053317033475573,0.025527292938613035,0.03193096575634367,calm
43.0,2018-09-04T00:00:00,calm,0.022705365570306446,0.025489468802339304,0.03192176596700919,calm
44.0,2018-09-05T00:00:00,calm,0.023141126992668234,0.025391327680801393,0.03191256617767472,calm
45.0,2018-09-06T00:00:00,calm,0.023267620136155142,0.025023222757808525,0.031903366388340244,calm
46.0,2018-09-07T00:00:00,calm,0.023758314519469123,0.025010747517314302,0.03189138928281295,calm
47.0,2018-09-10T00:00:00,calm,0.023376752381080397,0.024987759462839192,0.03187941217728566,calm
48.0,2018-09-11T00:00:00,calm,0.023333922312505063,0.02496468824925952,0.03186743507175837,calm
49.0,2018-09-12T00:00:00,calm,0.023658249668212315,0.024945812213064498,0.03185545796623108,calm
50.0,2018-09-13T00:00:00,calm,0.023321590225519356,0.02492925837235619,0.031843480860703786,calm
51.0,2018-09-14T00:00:00,calm,0.022775365982052435,0.02476920181366778,0.031828465232049206,calm
52.0,2018-09-17T00:00:00,calm,0.022405842658850882,0.024632211410356535,0.031813449603394627,calm
53.0,2018-09-18T00:00:00,calm,0.022386783210533664,0.0244832126078369,0.031798433974740054,calm
54.0,2018-09-19T00:00:00,calm,0.02192798648100659,0.024348295919626166,0.031783418346085474,calm
55.0,2018-09-20T00:00:00,calm,0.022108753670429245,0.024314716927344472,0.031768402717430894,calm
56.0,2018-09-21T00:00:00,full,0.026792267976311332,0.024191441802456557,0.03173249039760076,mid
57.0,2018-09-24T00:00:00,full,0.026948920218869712,0.024222260583678535,0.03169657807777062,mid
