rc_run,regime,windows,detection_windows,detections_mean,detection_rate_mean,detection_rate_median,isolation_share_mean,isolation_share_median,edge_margin_mean,edge_margin_median,edge_margin_p10,edge_margin_p90,stability_margin_mean,stability_margin_median,stability_margin_p10,stability_margin_p90,isolation_share_p10,isolation_share_p90,alignment_cos_mean,alignment_cos_median,alignment_cos_p10,alignment_cos_p90,alignment_angle_mean,alignment_angle_median,reason_code_mode,calm_threshold_mean,crisis_threshold_mean,vol_signal_mean,resolved_config_path
rc-20251103,full,2046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,detection_error,0.016320557237574,0.0219088093181825,0.018569431111022,reports/rc-20251103/resolved_config.json
rc-20251103,calm,873,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,detection_error,0.0165965775347277,0.0221285147777631,0.0155151525719103,reports/rc-20251103/resolved_config.json
rc-20251103,crisis,708,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,detection_error,0.016071536505675,0.0214948144621663,0.0254786383312731,reports/rc-20251103/resolved_config.json
