window_id,window_start,regime,vol_signal,calm_threshold,crisis_threshold,vol_state_label
0.0,2018-07-03T00:00:00,calm,0.01301328936771864,0.01305340826657948,0.014300499480660466,calm
,,calm,0.012753497859935433,0.013044798076269076,0.014296641359647979,calm
,,calm,0.01256389391019478,0.013040770440379034,0.014292783238635491,calm
,,calm,0.01250812954401031,0.013029234658754737,0.014288925117623003,calm
,,calm,0.012466545188778553,0.013013702733248316,0.014285066996610515,calm
,,calm,0.01218821761903645,0.01301328936771864,0.014281208875598028,calm
,,calm,0.012446388039957674,0.012952792556829934,0.014266222896487398,calm
,,calm,0.012034855991655819,0.012936214869616576,0.014251236917376769,calm
,,calm,0.011845714550815527,0.012916729735406689,0.014236250938266137,calm
9.0,2018-07-17T00:00:00,calm,0.011902616772359,0.012886983134132434,0.014221264959155508,calm
,,calm,0.012033460811629253,0.012879093596330016,0.014206278980044876,calm
,,calm,0.011841235046382629,0.012839818720714635,0.014203186104547665,calm
,,calm,0.012755199448531238,0.012818499800120434,0.014200093229050454,calm
,,calm,0.012643166521233378,0.012801601783190314,0.014197000353553244,calm
14.0,2018-07-24T00:00:00,calm,0.012645764024829583,0.012786813484785687,0.014193907478056033,calm
,,full,0.013310612590870156,0.012783047585986479,0.014190814602558822,mid
,,full,0.013464253623535639,0.012783989060686281,0.014189318869505228,mid
,,full,0.013759861808870271,0.012784930535386083,0.014187823136451632,mid
,,full,0.013715908941610164,0.012785872010085885,0.014186327403398038,mid
19.0,2018-07-31T00:00:00,full,0.013704997691679065,0.012786813484785687,0.014184831670344442,mid
,,full,0.013941913792696162,0.01278775495948549,0.014183335937290847,mid
,,crisis,0.014439412326131938,0.012792370567387098,0.014176869859344573,crisis
,,crisis,0.014701844080772193,0.012796986175288707,0.014187823136451632,crisis
,,crisis,0.01455074087433159,0.012801601783190314,0.014197000353553244,crisis
24.0,2018-08-07T00:00:00,full,0.014187065041475462,0.012806217391091923,0.014221264959155508,mid
,,full,0.01406003520628997,0.012810832998993531,0.014206278980044876,mid
,,full,0.01411815052077626,0.012814666399556984,0.014203186104547665,mid
,,full,0.013899455696214424,0.012818499800120434,0.014200093229050454,mid
,,full,0.014112985070235048,0.012822333200683886,0.014197000353553244,mid
29.0,2018-08-14T00:00:00,full,0.013875809142393546,0.012826166601247337,0.014193907478056033,mid
30.0,2018-08-15T00:00:00,full,0.013633418226746937,0.012830000001810789,0.014190814602558822,mid
31.0,2018-08-16T00:00:00,full,0.01384131741811322,0.012839818720714635,0.01419006469034215,mid
32.0,2018-08-17T00:00:00,full,0.013331783506498327,0.01284963743961848,0.014189314778125479,mid
33.0,2018-08-20T00:00:00,full,0.012992399864590339,0.012859456158522325,0.014188564865908805,mid
34.0,2018-08-21T00:00:00,full,0.01289273773830781,0.01286927487742617,0.014187814953692134,mid
35.0,2018-08-22T00:00:00,calm,0.012796765035212418,0.012879093596330016,0.014187065041475462,calm
36.0,2018-08-23T00:00:00,calm,0.012632770574244811,0.012839818720714635,0.01418631922063854,calm
37.0,2018-08-24T00:00:00,calm,0.012306180581822765,0.012818499800120434,0.014185573399801617,calm
38.0,2018-08-27T00:00:00,calm,0.012083192856633762,0.012805205813481086,0.014184827578964693,calm
39.0,2018-08-28T00:00:00,calm,0.012009452064394055,0.012794963020067033,0.01418408175812777,calm
40.0,2018-08-29T00:00:00,calm,0.012197272076015198,0.01278775495948549,0.014183335937290847,calm
41.0,2018-08-30T00:00:00,calm,0.012524486301154866,0.012783989060686281,0.014176869859344573,calm
42.0,2018-08-31T00:00:00,calm,0.012611273570677164,0.012766338703513335,0.014170403781398297,calm
43.0,2018-09-04T00:00:00,calm,0.012482364009110123,0.0127546312654735,0.014163937703452022,calm
44.0,2018-09-05T00:00:00,full,0.012878140819952288,0.0127537227646966,0.014157471625505747,mid
45.0,2018-09-06T00:00:00,calm,0.01257025773250313,0.012753778990886892,0.014151005547559471,calm
46.0,2018-09-07T00:00:00,calm,0.012489215089756683,0.012753554086125725,0.014148639333842349,calm
47.0,2018-09-10T00:00:00,calm,0.012343644864351697,0.012733673913903551,0.014146273120125228,calm
48.0,2018-09-11T00:00:00,calm,0.012327152590890638,0.012719579333199721,0.014143906906408106,calm
49.0,2018-09-12T00:00:00,calm,0.012331594088839104,0.012707727974989645,0.014141540692690985,calm
50.0,2018-09-13T00:00:00,calm,0.012069680120802066,0.012665594242244787,0.014139174478973863,calm
51.0,2018-09-14T00:00:00,calm,0.012087381080998202,0.012661324510238147,0.014138680363348529,calm
52.0,2018-09-17T00:00:00,calm,0.011941037050586422,0.012651561245792343,0.014138186247723195,calm
53.0,2018-09-18T00:00:00,calm,0.012167959487562881,0.0126447250233911,0.014137692132097859,calm
54.0,2018-09-19T00:00:00,calm,0.012080033303638837,0.012641087331835665,0.014137198016472525,calm
55.0,2018-09-20T00:00:00,calm,0.012155390970217148,0.012632770574244811,0.01413670390084719,calm
56.0,2018-09-21T00:00:00,calm,0.012031245938285862,0.012629286303306475,0.014136262056887679,calm
57.0,2018-09-24T00:00:00,calm,0.012314039290599186,0.012618130236635055,0.014135820212928167,calm
58.0,2018-09-25T00:00:00,calm,0.012398723369131334,0.012611034016876785,0.014135378368968655,calm
59.0,2018-09-26T00:00:00,calm,0.01218622387058231,0.012606906959105137,0.014134936525009143,calm
60.0,2018-09-27T00:00:00,calm,0.012287919537161972,0.012591836050820825,0.01413449468104963,calm
61.0,2018-09-28T00:00:00,calm,0.012139135023580444,0.01257457339616667,0.014132939883417347,calm
